seqid	seqlength	chrtype	krank	speciescode	chrname	cname
ALLMI_HiC_scaffold_1	446151378	macro	1	ALLMI	dzscf1	American alligator
ALLMI_HiC_scaffold_2	291816272	macro	2	ALLMI	dzscf2	American alligator
ALLMI_HiC_scaffold_16	286864427	macro	3	ALLMI	dzscf16	American alligator
ALLMI_HiC_scaffold_3	240791973	macro	4	ALLMI	dzscf3	American alligator
ALLMI_HiC_scaffold_15	209376224	macro	5	ALLMI	dzscf15	American alligator
ALLMI_HiC_scaffold_14	95926144	micro	6	ALLMI	dzscf14	American alligator
ALLMI_HiC_scaffold_6	79122728	micro	7	ALLMI	dzscf6	American alligator
ALLMI_HiC_scaffold_4	77868838	micro	8	ALLMI	dzscf4	American alligator
ALLMI_HiC_scaffold_7	73747066	micro	9	ALLMI	dzscf7	American alligator
ALLMI_HiC_scaffold_5	71713467	micro	10	ALLMI	dzscf5	American alligator
ALLMI_HiC_scaffold_12	65528272	micro	11	ALLMI	dzscf12	American alligator
ALLMI_HiC_scaffold_8	56766657	micro	12	ALLMI	dzscf8	American alligator
ALLMI_HiC_scaffold_13	54226289	micro	13	ALLMI	dzscf13	American alligator
ALLMI_HiC_scaffold_11	36339844	micro	14	ALLMI	dzscf11	American alligator
ALLMI_HiC_scaffold_9	27889950	micro	15	ALLMI	dzscf9	American alligator
ALLMI_HiC_scaffold_10	23283895	micro	16	ALLMI	dzscf10	American alligator
ALLSI_HiC_scaffold_1	469875877	macro	1	ALLSI	dzscf1	Chinese alligator
ALLSI_HiC_scaffold_15	307358469	macro	2	ALLSI	dzscf15	Chinese alligator
ALLSI_HiC_scaffold_16	301483149	macro	3	ALLSI	dzscf16	Chinese alligator
ALLSI_HiC_scaffold_2	253885816	macro	4	ALLSI	dzscf2	Chinese alligator
ALLSI_HiC_scaffold_3	219970661	macro	5	ALLSI	dzscf3	Chinese alligator
ALLSI_HiC_scaffold_14	101397246	micro	6	ALLSI	dzscf14	Chinese alligator
ALLSI_HiC_scaffold_13	84160991	micro	7	ALLSI	dzscf13	Chinese alligator
ALLSI_HiC_scaffold_4	83133657	micro	8	ALLSI	dzscf4	Chinese alligator
ALLSI_HiC_scaffold_6	76998537	micro	9	ALLSI	dzscf6	Chinese alligator
ALLSI_HiC_scaffold_5	74941487	micro	10	ALLSI	dzscf5	Chinese alligator
ALLSI_HiC_scaffold_11	67714992	micro	11	ALLSI	dzscf11	Chinese alligator
ALLSI_HiC_scaffold_12	59623880	micro	12	ALLSI	dzscf12	Chinese alligator
ALLSI_HiC_scaffold_7	58617855	micro	13	ALLSI	dzscf7	Chinese alligator
ALLSI_HiC_scaffold_8	37862361	micro	14	ALLSI	dzscf8	Chinese alligator
ALLSI_HiC_scaffold_10	29438119	micro	15	ALLSI	dzscf10	Chinese alligator
