# Assembly name:  CAS_Tse_1.0
# Organism name:  Trachemys scripta elegans (red-eared slider turtle)
# Isolate:  TJP31775
# Taxid:          31138
# BioSample:      SAMN12189062
# BioProject:     PRJNA552319
# Submitter:      California Academy of Sciences
# Date:           2020-05-15
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VIRI01
# Assembly method: Supernova v. 1.2
# Expected final version: no
# Genome coverage: 60.0x
# Sequencing technology: Illumina NovaSeq; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_013100865.1
# RefSeq assembly accession: GCF_013100865.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013100875.1	GCF_013100875.1	Primary Assembly
## 	GCF_013176925.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr1	assembled-molecule	1	Chromosome	CM023056.1	=	NC_048298.1	Primary Assembly	347660827	na
chr2	assembled-molecule	2	Chromosome	CM023057.1	=	NC_048299.1	Primary Assembly	283098403	na
chr3	assembled-molecule	3	Chromosome	CM023058.1	=	NC_048300.1	Primary Assembly	201239519	na
chr4	assembled-molecule	4	Chromosome	CM023059.1	=	NC_048301.1	Primary Assembly	142343550	na
chr5	assembled-molecule	5	Chromosome	CM023060.1	=	NC_048302.1	Primary Assembly	140411086	na
chr6	assembled-molecule	6	Chromosome	CM023061.1	=	NC_048303.1	Primary Assembly	129675691	na
chr7	assembled-molecule	7	Chromosome	CM023062.1	=	NC_048304.1	Primary Assembly	126808733	na
chr8	assembled-molecule	8	Chromosome	CM023063.1	=	NC_048305.1	Primary Assembly	109307977	na
chr9	assembled-molecule	9	Chromosome	CM023064.1	=	NC_048306.1	Primary Assembly	104972506	na
chr10	assembled-molecule	10	Chromosome	CM023065.1	=	NC_048307.1	Primary Assembly	85829911	na
chr11	assembled-molecule	11	Chromosome	CM023066.1	=	NC_048308.1	Primary Assembly	76047897	na
chr12	assembled-molecule	12	Chromosome	CM023067.1	=	NC_048309.1	Primary Assembly	45061502	na
chr13	assembled-molecule	13	Chromosome	CM023068.1	=	NC_048310.1	Primary Assembly	43716676	na
chr14	assembled-molecule	14	Chromosome	CM023069.1	=	NC_048311.1	Primary Assembly	42221082	na
chr15	assembled-molecule	15	Chromosome	CM023070.1	=	NC_048312.1	Primary Assembly	32210117	na
chr16	assembled-molecule	16	Chromosome	CM023071.1	=	NC_048313.1	Primary Assembly	30045477	na
chr17	assembled-molecule	17	Chromosome	CM023072.1	=	NC_048314.1	Primary Assembly	26830997	na
chr18	assembled-molecule	18	Chromosome	CM023073.1	=	NC_048315.1	Primary Assembly	24772400	na
chr19	assembled-molecule	19	Chromosome	CM023074.1	=	NC_048316.1	Primary Assembly	22813715	na
