# Assembly name:  bCygOlo1.pri
# Organism name:  Cygnus olor (mute swan)
# Isolate:  bCygOlo1
# Sex:  male
# Taxid:          8869
# BioSample:      SAMN12621369
# BioProject:     PRJNA561960
# Submitter:      Vertebrate Genomes Project
# Date:           2019-12-23
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WNMI01
# Assembly method: FALCON v. 2018.31.08-03.06; FALCON-Unzip v. 6.0.0.47841; purge_haplotigs v. 1.0.3+ 1.Nov.2018; scaff10x v. 4.1.0; Bionano solve v. 3.2.1_04122018; Salsa HiC v. 2.2; Arrow smrtanalysis Pacbio polishing & gap filling v. 6.0.0.47841; longranger align v. 2.2.2
# Expected final version: no
# Genome coverage: 60.23x
# Sequencing technology: PacBio Sequel 1 CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_009769625.1
# Linked assembly: GCA_009769485.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009769645.1		Primary Assembly
## GCA_009769655.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
SUPER_scf_1	assembled-molecule	1	Chromosome	CM020065.1	<>	na	Primary Assembly	209740803	na
SUPER_scf_4	assembled-molecule	2	Chromosome	CM020066.1	<>	na	Primary Assembly	161160915	na
SUPER_scf_2	assembled-molecule	3	Chromosome	CM020067.1	<>	na	Primary Assembly	121161405	na
SUPER_scf_3	assembled-molecule	4	Chromosome	CM020068.1	<>	na	Primary Assembly	77806539	na
SUPER_scf_5	assembled-molecule	5	Chromosome	CM020069.1	<>	na	Primary Assembly	66085727	na
SUPER_scf_6	assembled-molecule	6	Chromosome	CM020070.1	<>	na	Primary Assembly	40597510	na
SUPER_scf_7	assembled-molecule	7	Chromosome	CM020071.1	<>	na	Primary Assembly	38445481	na
SUPER_scf_8	assembled-molecule	8	Chromosome	CM020072.1	<>	na	Primary Assembly	33098480	na
SUPER_scf_9	assembled-molecule	9	Chromosome	CM020073.1	<>	na	Primary Assembly	26863093	na
SUPER_scf_10	assembled-molecule	10	Chromosome	CM020074.1	<>	na	Primary Assembly	22536196	na
SUPER_scf_11	assembled-molecule	11	Chromosome	CM020075.1	<>	na	Primary Assembly	22219367	na
SUPER_scf_12	assembled-molecule	12	Chromosome	CM020076.1	<>	na	Primary Assembly	21853640	na
SUPER_scf_13	assembled-molecule	13	Chromosome	CM020077.1	<>	na	Primary Assembly	21469910	na
SUPER_scf_14	assembled-molecule	14	Chromosome	CM020078.1	<>	na	Primary Assembly	20170086	na
SUPER_scf_15	assembled-molecule	15	Chromosome	CM020079.1	<>	na	Primary Assembly	18104235	na
SUPER_scf_16	assembled-molecule	16	Chromosome	CM020080.1	<>	na	Primary Assembly	16327272	na
SUPER_scf_17	assembled-molecule	17	Chromosome	CM020081.1	<>	na	Primary Assembly	15594031	na
SUPER_scf_18	assembled-molecule	18	Chromosome	CM020082.1	<>	na	Primary Assembly	13182687	na
SUPER_scf_19	assembled-molecule	19	Chromosome	CM020083.1	<>	na	Primary Assembly	12196948	na
SUPER_scf_20	assembled-molecule	20	Chromosome	CM020084.1	<>	na	Primary Assembly	12179101	na
SUPER_scf_23	assembled-molecule	21	Chromosome	CM020085.1	<>	na	Primary Assembly	9107981	na
SUPER_scf_24	assembled-molecule	22	Chromosome	CM020086.1	<>	na	Primary Assembly	7827656	na
SUPER_scf_25	assembled-molecule	23	Chromosome	CM020087.1	<>	na	Primary Assembly	7743145	na
SUPER_scf_26	assembled-molecule	24	Chromosome	CM020088.1	<>	na	Primary Assembly	7030754	na
