# Assembly name:  rCheMyd1.pri
# Organism name:  Chelonia mydas (Green sea turtle)
# Isolate:  rCheMyd1
# Sex:  male
# Taxid:          8469
# BioSample:      SAMN12612360
# BioProject:     PRJNA561941
# Submitter:      Vertebrate Genomes Project
# Date:           2020-11-05
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JADCQM01
# Assembly method: FALCON v. 1.3.0 2018.31.08-03.06; FALCON-Unzip v. 1.2.0 6.0.0.47841; purge_dups github v. ca23030ccf4254dfd2d3a5ea90d0eed41c24f88b ca23030ccf4254dfd2d3a5ea90d0eed41c24f88b; Scaff10x v. 4.1.0; Bionano Solve v. 3.2.1_04122018; Salsa2 HiC v. 2.2; Arrow polishing and gap filling v. SMRTLink7.0.1; Longranger Align v. 2.2.2; freebayes v. 1.3.1; gEVAL manual curation v. 2020-08-11; VGP assembly pipeline v. 1.6
# Expected final version: no
# Genome coverage: 60.0x
# Sequencing technology: PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_015237465.1
# RefSeq assembly accession: GCF_015237465.1
# RefSeq assembly and GenBank assemblies identical: no
# Linked assembly: GCA_015220195.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015237515.1	GCF_015237515.1	Primary Assembly
## 	GCF_000027655.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
SUPER_1	assembled-molecule	1	Chromosome	CM026898.1	=	NC_051241.1	Primary Assembly	348265484	na
SUPER_2	assembled-molecule	2	Chromosome	CM026899.1	=	NC_051242.1	Primary Assembly	262513884	na
SUPER_3	assembled-molecule	3	Chromosome	CM026900.1	=	NC_051243.1	Primary Assembly	204120564	na
SUPER_4	assembled-molecule	4	Chromosome	CM026901.1	=	NC_051244.1	Primary Assembly	142324156	na
SUPER_5	assembled-molecule	5	Chromosome	CM026902.1	=	NC_051245.1	Primary Assembly	134428053	na
SUPER_6	assembled-molecule	6	Chromosome	CM026903.1	=	NC_051246.1	Primary Assembly	133272604	na
SUPER_7	assembled-molecule	7	Chromosome	CM026904.1	=	NC_051247.1	Primary Assembly	123872898	na
SUPER_8	assembled-molecule	8	Chromosome	CM026905.1	=	NC_051248.1	Primary Assembly	106505537	na
SUPER_9	assembled-molecule	9	Chromosome	CM026906.1	=	NC_051249.1	Primary Assembly	101620591	na
SUPER_10	assembled-molecule	10	Chromosome	CM026907.1	=	NC_051250.1	Primary Assembly	84054250	na
SUPER_11	assembled-molecule	11	Chromosome	CM026908.1	=	NC_051251.1	Primary Assembly	79522289	na
SUPER_12	assembled-molecule	12	Chromosome	CM026909.1	=	NC_051252.1	Primary Assembly	44456234	na
SUPER_13	assembled-molecule	13	Chromosome	CM026910.1	=	NC_051253.1	Primary Assembly	42953438	na
SUPER_14	assembled-molecule	14	Chromosome	CM026911.1	=	NC_051254.1	Primary Assembly	42626581	na
SUPER_15	assembled-molecule	15	Chromosome	CM026912.1	=	NC_051255.1	Primary Assembly	33324608	na
SUPER_16	assembled-molecule	16	Chromosome	CM026913.1	=	NC_051256.1	Primary Assembly	25690524	na
SUPER_17	assembled-molecule	17	Chromosome	CM026914.1	=	NC_051257.1	Primary Assembly	25202864	na
