# Assembly name:  GRCg6a
# Description:    Genome Reference Consortium Chicken Build 6a
# Organism name:  Gallus gallus (chicken)
# Infraspecific name:  breed=Red Jungle fowl, inbred line UCD001
# Isolate:  RJF #256
# Sex:  female
# Taxid:          9031
# BioSample:      SAMN02981218
# BioProject:     PRJNA13342
# Submitter:      Genome Reference Consortium
# Date:           2018-03-27
# Synonyms:       galGal6	
# Assembly type:  haploid
# Release type:   minor
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AADN05
# Assembly method: FALCON-integrate v. 1.7.5
# Genome coverage: 82x
# Sequencing technology: Pacific Biosciences RSII (P6-C4 and P5-C3 chemistry)
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002315.5
# RefSeq assembly accession: GCF_000002315.6
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000185.5	GCF_000000185.4	Primary Assembly
## 	GCF_000184395.2	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
1	assembled-molecule	1	Chromosome	CM000093.5	=	NC_006088.5	Primary Assembly	197608386	chr1
2	assembled-molecule	2	Chromosome	CM000094.5	=	NC_006089.5	Primary Assembly	149682049	chr2
3	assembled-molecule	3	Chromosome	CM000095.5	=	NC_006090.5	Primary Assembly	110838418	chr3
4	assembled-molecule	4	Chromosome	CM000096.5	=	NC_006091.5	Primary Assembly	91315245	chr4
5	assembled-molecule	5	Chromosome	CM000097.5	=	NC_006092.5	Primary Assembly	59809098	chr5
6	assembled-molecule	6	Chromosome	CM000098.5	=	NC_006093.5	Primary Assembly	36374701	chr6
7	assembled-molecule	7	Chromosome	CM000099.5	=	NC_006094.5	Primary Assembly	36742308	chr7
8	assembled-molecule	8	Chromosome	CM000100.5	=	NC_006095.5	Primary Assembly	30219446	chr8
9	assembled-molecule	9	Chromosome	CM000101.5	=	NC_006096.5	Primary Assembly	24153086	chr9
10	assembled-molecule	10	Chromosome	CM000102.5	=	NC_006097.5	Primary Assembly	21119840	chr10
11	assembled-molecule	11	Chromosome	CM000103.5	=	NC_006098.5	Primary Assembly	20200042	chr11
12	assembled-molecule	12	Chromosome	CM000104.5	=	NC_006099.5	Primary Assembly	20387278	chr12
13	assembled-molecule	13	Chromosome	CM000105.5	=	NC_006100.5	Primary Assembly	19166714	chr13
14	assembled-molecule	14	Chromosome	CM000106.5	=	NC_006101.5	Primary Assembly	16219308	chr14
15	assembled-molecule	15	Chromosome	CM000107.5	=	NC_006102.5	Primary Assembly	13062184	chr15
16	assembled-molecule	16	Chromosome	CM000108.5	=	NC_006103.5	Primary Assembly	2844601	chr16
