# Assembly name:  PodMur_1.0
# Organism name:  Podarcis muralis (common wall lizard)
# Infraspecific name:  ecotype=yellow
# Sex:  male
# Taxid:          64176
# BioSample:      SAMN10820182
# BioProject:     PRJNA515813
# Submitter:      CIBIO-InBIO
# Date:           2019-03-07
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    SIRZ01
# Assembly method: FALCON v. 0.4.0; Pilon v. JAN-2018; HiRise v. JAN-2018
# Expected final version: yes
# Genome coverage: 100.0x
# Sequencing technology: PacBio; HiSeq; Chicago; HiC
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_004329235.1
# RefSeq assembly accession: GCF_004329235.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004329435.1	GCF_004329435.1	Primary Assembly
## 	GCF_004519765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chrom01	assembled-molecule	1	Chromosome	CM014743.1	=	NC_041312.1	Primary Assembly	140209921	na
chrom02	assembled-molecule	2	Chromosome	CM014744.1	=	NC_041313.1	Primary Assembly	128038163	na
chrom03	assembled-molecule	3	Chromosome	CM014745.1	=	NC_041314.1	Primary Assembly	124954059	na
chrom04	assembled-molecule	4	Chromosome	CM014746.1	=	NC_041315.1	Primary Assembly	107526675	na
chrom05	assembled-molecule	5	Chromosome	CM014747.1	=	NC_041316.1	Primary Assembly	100393251	na
chrom06	assembled-molecule	6	Chromosome	CM014748.1	=	NC_041317.1	Primary Assembly	99678440	na
chrom07	assembled-molecule	7	Chromosome	CM014749.1	=	NC_041318.1	Primary Assembly	92398148	na
chrom08	assembled-molecule	8	Chromosome	CM014750.1	=	NC_041319.1	Primary Assembly	90342841	na
chrom09	assembled-molecule	9	Chromosome	CM014751.1	=	NC_041320.1	Primary Assembly	79135106	na
chrom10	assembled-molecule	10	Chromosome	CM014752.1	=	NC_041321.1	Primary Assembly	76280819	na
chrom11	assembled-molecule	11	Chromosome	CM014753.1	=	NC_041322.1	Primary Assembly	65231656	na
chrom12	assembled-molecule	12	Chromosome	CM014754.1	=	NC_041323.1	Primary Assembly	60949594	na
chrom13	assembled-molecule	13	Chromosome	CM014755.1	=	NC_041324.1	Primary Assembly	56546671	na
chrom14	assembled-molecule	14	Chromosome	CM014756.1	=	NC_041325.1	Primary Assembly	54988359	na
chrom15	assembled-molecule	15	Chromosome	CM014757.1	=	NC_041326.1	Primary Assembly	46441056	na
chrom16	assembled-molecule	16	Chromosome	CM014758.1	=	NC_041327.1	Primary Assembly	43659005	na
chrom17	assembled-molecule	17	Chromosome	CM014759.1	=	NC_041328.1	Primary Assembly	42925489	na
chrom18	assembled-molecule	18	Chromosome	CM014760.1	=	NC_041329.1	Primary Assembly	14237138	na
chromZ	assembled-molecule	Z	Chromosome	CM014761.1	=	NC_041330.1	Primary Assembly	50871175	na
unplaced_scaffold0001	unplaced-scaffold	na	na	SIRZ01000020.1	=	NW_021164349.1	Primary Assembly	321289	na
unplaced_scaffold0002	unplaced-scaffold	na	na	SIRZ01000021.1	=	NW_021164350.1	Primary Assembly	289227	na
unplaced_scaffold0003	unplaced-scaffold	na	na	SIRZ01000022.1	=	NW_021164351.1	Primary Assembly	195856	na
unplaced_scaffold0004	unplaced-scaffold	na	na	SIRZ01000023.1	=	NW_021164352.1	Primary Assembly	193279	na
unplaced_scaffold0005	unplaced-scaffold	na	na	SIRZ01000024.1	=	NW_021164353.1	Primary Assembly	174418	na
unplaced_scaffold0006	unplaced-scaffold	na	na	SIRZ01000025.1	=	NW_021164354.1	Primary Assembly	153536	na
unplaced_scaffold0007	unplaced-scaffold	na	na	SIRZ01000026.1	=	NW_021164355.1	Primary Assembly	130167	na
unplaced_scaffold0008	unplaced-scaffold	na	na	SIRZ01000027.1	=	NW_021164356.1	Primary Assembly	103862	na
unplaced_scaffold0009	unplaced-scaffold	na	na	SIRZ01000028.1	=	NW_021164357.1	Primary Assembly	101340	na
unplaced_scaffold0010	unplaced-scaffold	na	na	SIRZ01000029.1	=	NW_021164358.1	Primary Assembly	92609	na
unplaced_scaffold0011	unplaced-scaffold	na	na	SIRZ01000030.1	=	NW_021164359.1	Primary Assembly	88200	na
unplaced_scaffold0012	unplaced-scaffold	na	na	SIRZ01000031.1	=	NW_021164360.1	Primary Assembly	86447	na
unplaced_scaffold0013	unplaced-scaffold	na	na	SIRZ01000032.1	=	NW_021164361.1	Primary Assembly	86130	na
unplaced_scaffold0014	unplaced-scaffold	na	na	SIRZ01000033.1	=	NW_021164362.1	Primary Assembly	74950	na
unplaced_scaffold0015	unplaced-scaffold	na	na	SIRZ01000034.1	=	NW_021164363.1	Primary Assembly	73708	na
unplaced_scaffold0016	unplaced-scaffold	na	na	SIRZ01000035.1	=	NW_021164364.1	Primary Assembly	72531	na
unplaced_scaffold0017	unplaced-scaffold	na	na	SIRZ01000036.1	=	NW_021164365.1	Primary Assembly	72382	na
unplaced_scaffold0018	unplaced-scaffold	na	na	SIRZ01000037.1	=	NW_021164366.1	Primary Assembly	68292	na
unplaced_scaffold0019	unplaced-scaffold	na	na	SIRZ01000038.1	=	NW_021164367.1	Primary Assembly	66471	na
unplaced_scaffold0020	unplaced-scaffold	na	na	SIRZ01000039.1	=	NW_021164368.1	Primary Assembly	65337	na
unplaced_scaffold0021	unplaced-scaffold	na	na	SIRZ01000040.1	=	NW_021164369.1	Primary Assembly	65077	na
unplaced_scaffold0022	unplaced-scaffold	na	na	SIRZ01000041.1	=	NW_021164370.1	Primary Assembly	64737	na
unplaced_scaffold0023	unplaced-scaffold	na	na	SIRZ01000042.1	=	NW_021164371.1	Primary Assembly	64339	na
unplaced_scaffold0024	unplaced-scaffold	na	na	SIRZ01000043.1	=	NW_021164372.1	Primary Assembly	63643	na
unplaced_scaffold0025	unplaced-scaffold	na	na	SIRZ01000044.1	=	NW_021164373.1	Primary Assembly	62840	na
unplaced_scaffold0026	unplaced-scaffold	na	na	SIRZ01000045.1	=	NW_021164374.1	Primary Assembly	62615	na
unplaced_scaffold0027	unplaced-scaffold	na	na	SIRZ01000046.1	=	NW_021164375.1	Primary Assembly	61954	na
unplaced_scaffold0028	unplaced-scaffold	na	na	SIRZ01000047.1	=	NW_021164376.1	Primary Assembly	61636	na
unplaced_scaffold0029	unplaced-scaffold	na	na	SIRZ01000048.1	=	NW_021164377.1	Primary Assembly	61230	na
unplaced_scaffold0030	unplaced-scaffold	na	na	SIRZ01000049.1	=	NW_021164378.1	Primary Assembly	61214	na
unplaced_scaffold0031	unplaced-scaffold	na	na	SIRZ01000050.1	=	NW_021164379.1	Primary Assembly	60175	na
unplaced_scaffold0032	unplaced-scaffold	na	na	SIRZ01000051.1	=	NW_021164380.1	Primary Assembly	60158	na
unplaced_scaffold0033	unplaced-scaffold	na	na	SIRZ01000052.1	=	NW_021164381.1	Primary Assembly	58191	na
unplaced_scaffold0034	unplaced-scaffold	na	na	SIRZ01000053.1	=	NW_021164382.1	Primary Assembly	57508	na
unplaced_scaffold0035	unplaced-scaffold	na	na	SIRZ01000054.1	=	NW_021164383.1	Primary Assembly	54755	na
unplaced_scaffold0036	unplaced-scaffold	na	na	SIRZ01000055.1	=	NW_021164384.1	Primary Assembly	54376	na
unplaced_scaffold0037	unplaced-scaffold	na	na	SIRZ01000056.1	=	NW_021164385.1	Primary Assembly	53739	na
unplaced_scaffold0038	unplaced-scaffold	na	na	SIRZ01000057.1	=	NW_021164386.1	Primary Assembly	52794	na
unplaced_scaffold0039	unplaced-scaffold	na	na	SIRZ01000058.1	=	NW_021164387.1	Primary Assembly	52585	na
unplaced_scaffold0040	unplaced-scaffold	na	na	SIRZ01000059.1	=	NW_021164388.1	Primary Assembly	52419	na
unplaced_scaffold0041	unplaced-scaffold	na	na	SIRZ01000060.1	=	NW_021164389.1	Primary Assembly	51654	na
unplaced_scaffold0042	unplaced-scaffold	na	na	SIRZ01000061.1	=	NW_021164390.1	Primary Assembly	51549	na
unplaced_scaffold0043	unplaced-scaffold	na	na	SIRZ01000062.1	=	NW_021164391.1	Primary Assembly	51428	na
unplaced_scaffold0044	unplaced-scaffold	na	na	SIRZ01000063.1	=	NW_021164392.1	Primary Assembly	51364	na
unplaced_scaffold0045	unplaced-scaffold	na	na	SIRZ01000064.1	=	NW_021164393.1	Primary Assembly	51215	na
unplaced_scaffold0046	unplaced-scaffold	na	na	SIRZ01000065.1	=	NW_021164394.1	Primary Assembly	51068	na
unplaced_scaffold0047	unplaced-scaffold	na	na	SIRZ01000066.1	=	NW_021164395.1	Primary Assembly	49333	na
unplaced_scaffold0048	unplaced-scaffold	na	na	SIRZ01000067.1	=	NW_021164396.1	Primary Assembly	49189	na
unplaced_scaffold0049	unplaced-scaffold	na	na	SIRZ01000068.1	=	NW_021164397.1	Primary Assembly	48924	na
unplaced_scaffold0050	unplaced-scaffold	na	na	SIRZ01000069.1	=	NW_021164398.1	Primary Assembly	48884	na
unplaced_scaffold0051	unplaced-scaffold	na	na	SIRZ01000070.1	=	NW_021164399.1	Primary Assembly	48853	na
unplaced_scaffold0052	unplaced-scaffold	na	na	SIRZ01000071.1	=	NW_021164400.1	Primary Assembly	48552	na
unplaced_scaffold0053	unplaced-scaffold	na	na	SIRZ01000072.1	=	NW_021164401.1	Primary Assembly	48411	na
unplaced_scaffold0054	unplaced-scaffold	na	na	SIRZ01000073.1	=	NW_021164402.1	Primary Assembly	48304	na
unplaced_scaffold0055	unplaced-scaffold	na	na	SIRZ01000074.1	=	NW_021164403.1	Primary Assembly	47856	na
unplaced_scaffold0056	unplaced-scaffold	na	na	SIRZ01000075.1	=	NW_021164404.1	Primary Assembly	47788	na
unplaced_scaffold0057	unplaced-scaffold	na	na	SIRZ01000076.1	=	NW_021164405.1	Primary Assembly	47747	na
unplaced_scaffold0058	unplaced-scaffold	na	na	SIRZ01000077.1	=	NW_021164406.1	Primary Assembly	47329	na
unplaced_scaffold0059	unplaced-scaffold	na	na	SIRZ01000078.1	=	NW_021164407.1	Primary Assembly	47320	na
unplaced_scaffold0060	unplaced-scaffold	na	na	SIRZ01000079.1	=	NW_021164408.1	Primary Assembly	46925	na
unplaced_scaffold0061	unplaced-scaffold	na	na	SIRZ01000080.1	=	NW_021164409.1	Primary Assembly	46759	na
unplaced_scaffold0062	unplaced-scaffold	na	na	SIRZ01000081.1	=	NW_021164410.1	Primary Assembly	46543	na
unplaced_scaffold0063	unplaced-scaffold	na	na	SIRZ01000082.1	=	NW_021164411.1	Primary Assembly	46248	na
unplaced_scaffold0064	unplaced-scaffold	na	na	SIRZ01000083.1	=	NW_021164412.1	Primary Assembly	45829	na
unplaced_scaffold0065	unplaced-scaffold	na	na	SIRZ01000084.1	=	NW_021164413.1	Primary Assembly	45819	na
unplaced_scaffold0066	unplaced-scaffold	na	na	SIRZ01000085.1	=	NW_021164414.1	Primary Assembly	45564	na
unplaced_scaffold0067	unplaced-scaffold	na	na	SIRZ01000086.1	=	NW_021164415.1	Primary Assembly	45358	na
unplaced_scaffold0068	unplaced-scaffold	na	na	SIRZ01000087.1	=	NW_021164416.1	Primary Assembly	44941	na
unplaced_scaffold0069	unplaced-scaffold	na	na	SIRZ01000088.1	=	NW_021164417.1	Primary Assembly	44032	na
unplaced_scaffold0070	unplaced-scaffold	na	na	SIRZ01000089.1	=	NW_021164418.1	Primary Assembly	43795	na
unplaced_scaffold0071	unplaced-scaffold	na	na	SIRZ01000090.1	=	NW_021164419.1	Primary Assembly	43755	na
unplaced_scaffold0072	unplaced-scaffold	na	na	SIRZ01000091.1	=	NW_021164420.1	Primary Assembly	43652	na
unplaced_scaffold0073	unplaced-scaffold	na	na	SIRZ01000092.1	=	NW_021164421.1	Primary Assembly	43633	na
unplaced_scaffold0074	unplaced-scaffold	na	na	SIRZ01000093.1	=	NW_021164422.1	Primary Assembly	43599	na
unplaced_scaffold0075	unplaced-scaffold	na	na	SIRZ01000094.1	=	NW_021164423.1	Primary Assembly	42920	na
unplaced_scaffold0076	unplaced-scaffold	na	na	SIRZ01000095.1	=	NW_021164424.1	Primary Assembly	42569	na
unplaced_scaffold0077	unplaced-scaffold	na	na	SIRZ01000096.1	=	NW_021164425.1	Primary Assembly	42558	na
unplaced_scaffold0078	unplaced-scaffold	na	na	SIRZ01000097.1	=	NW_021164426.1	Primary Assembly	42403	na
unplaced_scaffold0079	unplaced-scaffold	na	na	SIRZ01000098.1	=	NW_021164427.1	Primary Assembly	42276	na
unplaced_scaffold0080	unplaced-scaffold	na	na	SIRZ01000099.1	=	NW_021164428.1	Primary Assembly	41972	na
unplaced_scaffold0081	unplaced-scaffold	na	na	SIRZ01000100.1	=	NW_021164429.1	Primary Assembly	41842	na
unplaced_scaffold0082	unplaced-scaffold	na	na	SIRZ01000101.1	=	NW_021164430.1	Primary Assembly	41732	na
unplaced_scaffold0083	unplaced-scaffold	na	na	SIRZ01000102.1	=	NW_021164431.1	Primary Assembly	41588	na
unplaced_scaffold0084	unplaced-scaffold	na	na	SIRZ01000103.1	=	NW_021164432.1	Primary Assembly	41557	na
unplaced_scaffold0085	unplaced-scaffold	na	na	SIRZ01000104.1	=	NW_021164433.1	Primary Assembly	41311	na
unplaced_scaffold0086	unplaced-scaffold	na	na	SIRZ01000105.1	=	NW_021164434.1	Primary Assembly	41174	na
unplaced_scaffold0087	unplaced-scaffold	na	na	SIRZ01000106.1	=	NW_021164435.1	Primary Assembly	41012	na
