speciescode	genomefa	seqid	chrname	seqlength	chrtype	krank	krank2
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052532.1	chr1	196449156	macro	1	1
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052533.1	chr2	149539284	macro	2	2
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052534.1	chr3	110642502	macro	3	3
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052535.1	chr4	90861225	macro	4	4
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052536.1	chr5	59506338	macro	5	5
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052537.1	chr6	36220557	macro	6	6
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052538.1	chr7	36382834	macro	7	7
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052539.1	chr8	29578256	macro	8	8
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052540.1	chr9	23733309	micro	11	11
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052541.1	chr10	20453248	micro	12	12
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052542.1	chr11	19638187	micro	14	14
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052543.1	chr12	20119077	micro	13	13
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052544.1	chr13	17905061	micro	15	15
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052545.1	chr14	15331188	micro	16	16
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052546.1	chr15	12703657	micro	18	18
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052547.1	chr16	2706039	micro	32	32
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052548.1	chr17	11092391	micro	20	20
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052549.1	chr18	11623896	micro	19	19
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052550.1	chr19	10455293	micro	21	21
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052551.1	chr20	14265659	micro	17	17
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052552.1	chr21	6970754	micro	22	22
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052553.1	chr22	4686657	micro	28	28
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052554.1	chr23	6253421	micro	24	24
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052555.1	chr24	6478339	micro	23	23
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052556.1	chr25	3067737	micro	31	31
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052557.1	chr26	5349051	micro	26	26
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052558.1	chr27	5228753	micro	27	27
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052559.1	chr28	5437364	micro	25	25
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052560.1	chr29	726478	micro	35	35
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052561.1	chr30	755666	micro	34	34
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052562.1	chr31	2457334	micro	33	33
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052563.1	chr32	125424	micro	41	41
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052564.1	chr33	3839931	micro	29	29
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052565.1	chr34	3469343	micro	30	30
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052566.1	chr35	554126	micro	37	37
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052567.1	chr36	358375	micro	38	38
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052568.1	chr37	157853	micro	40	40
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052569.1	chr38	667312	micro	36	36
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052570.1	chr39	177356	micro	39	39
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052571.1	chrW	9109940	chrW	10	10
CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna	NC_052572.1	chrZ	86044486	chrZ	9	9
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044211.2	chr1	114020016	macro	2	2
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044212.2	chr1A	71569005	macro	1	1
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044213.2	chr2	151653088	macro	3	3
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044214.2	chr3	112598992	macro	4	4
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044215.2	chr4	70982421	macro	6	6
