# Assembly name:  AnoCar2.0
# Organism name:  Anolis carolinensis (green anole)
# Taxid:          28377
# BioSample:      SAMN02981230
# BioProject:     PRJNA18787
# Submitter:      Broad Institute
# Date:           2011-01-10
# Synonyms:       anoCar2	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAWZ02
# Assembly method: Arachne v. 3.0.0
# Genome coverage: 7.10x
# Sequencing technology: ABI
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000090745.2
# RefSeq assembly accession: GCF_000090745.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000090755.1	GCF_000090755.1	Primary Assembly
## GCA_000072855.2	GCF_000072855.2	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr1	assembled-molecule	1	Chromosome	CM000937.1	=	NC_014776.1	Primary Assembly	263920458	chr1
chr2	assembled-molecule	2	Chromosome	CM000938.1	=	NC_014777.1	Primary Assembly	199619895	chr2
chr3	assembled-molecule	3	Chromosome	CM000939.1	=	NC_014778.1	Primary Assembly	204416410	chr3
chr4	assembled-molecule	4	Chromosome	CM000940.1	=	NC_014779.1	Primary Assembly	156502444	chr4
chr5	assembled-molecule	5	Chromosome	CM000941.1	=	NC_014780.1	Primary Assembly	150641573	chr5
chr6	assembled-molecule	6	Chromosome	CM000942.1	=	NC_014781.1	Primary Assembly	80741955	chr6
LGa	assembled-molecule	a	Linkage Group	CM000943.1	=	NC_014782.1	Primary Assembly	7025928	chrLGa
LGb	assembled-molecule	b	Linkage Group	CM000944.1	=	NC_014783.1	Primary Assembly	3271537	chrLGb
LGc	assembled-molecule	c	Linkage Group	CM000945.1	=	NC_014784.1	Primary Assembly	9478905	chrLGc
LGd	assembled-molecule	d	Linkage Group	CM000946.1	=	NC_014785.1	Primary Assembly	1094478	chrLGd
