# Assembly name:  bFalRus1.pri
# Organism name:  Falco rusticolus (gyrfalcon)
# Isolate:  bFalRus1
# Sex:  female
# Taxid:          120794
# BioSample:      SAMN12629496
# BioProject:     PRJNA561988
# Submitter:      Vertebrate Genomes Project
# Date:           2020-11-03
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JADCQO01
# Assembly method: FALCON v. falcon-2018.31.08-03.06; FALCON-Unzip v. 6.0.0.47841; purge_dups github v. ca23030ccf4254dfd2d3a5ea90d0eed41c24f88b ca23030ccf4254dfd2d3a5ea90d0eed41c24f88b; Scaff10x v. 4.1.0; Bionano Solve v. 3.2.1_04122018; Salsa2 HiC v. 2.2; Polish v. pbgcpp:
# Expected final version: no
# Genome coverage: 44.28x
# Sequencing technology: PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_015220075.1
# RefSeq assembly accession: GCF_015220075.1
# RefSeq assembly and GenBank assemblies identical: no
# Linked assembly: GCA_015220155.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015220135.1	GCF_015220135.1	Primary Assembly
## GCA_015220145.1	GCF_015266735.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
SUPER_1	assembled-molecule	1	Chromosome	CM026666.1	=	NC_051187.1	Primary Assembly	126922963	na
SUPER_2	assembled-molecule	2	Chromosome	CM026667.1	=	NC_051188.1	Primary Assembly	122153554	na
SUPER_3	assembled-molecule	3	Chromosome	CM026668.1	=	NC_051189.1	Primary Assembly	121276792	na
SUPER_4	assembled-molecule	4	Chromosome	CM026669.1	=	NC_051190.1	Primary Assembly	112438257	na
SUPER_5	assembled-molecule	5	Chromosome	CM026670.1	=	NC_051191.1	Primary Assembly	92439089	na
SUPER_6	assembled-molecule	6	Chromosome	CM026671.1	=	NC_051192.1	Primary Assembly	91094845	na
SUPER_7	assembled-molecule	7	Chromosome	CM026672.1	=	NC_051193.1	Primary Assembly	72902640	na
SUPER_8	assembled-molecule	8	Chromosome	CM026673.1	=	NC_051194.1	Primary Assembly	65417759	na
SUPER_9	assembled-molecule	9	Chromosome	CM026674.1	=	NC_051195.1	Primary Assembly	54018959	na
SUPER_10	assembled-molecule	10	Chromosome	CM026675.1	=	NC_051196.1	Primary Assembly	38161925	na
SUPER_11	assembled-molecule	11	Chromosome	CM026676.1	=	NC_051197.1	Primary Assembly	35666015	na
SUPER_12	assembled-molecule	12	Chromosome	CM026677.1	=	NC_051198.1	Primary Assembly	33884028	na
SUPER_13	assembled-molecule	13	Chromosome	CM026678.1	=	NC_051199.1	Primary Assembly	30790089	na
SUPER_14	assembled-molecule	14	Chromosome	CM026679.1	=	NC_051200.1	Primary Assembly	24097451	na
SUPER_15	assembled-molecule	15	Chromosome	CM026680.1	=	NC_051201.1	Primary Assembly	23311196	na
SUPER_16	assembled-molecule	16	Chromosome	CM026681.1	=	NC_051202.1	Primary Assembly	8171160	na
