# Assembly name:  Ogye1.0
# Organism name:  Gallus gallus (chicken)
# Infraspecific name:  breed=Yeonsan Ogye
# Sex:  female
# Taxid:          9031
# BioSample:      SAMN07713967
# BioProject:     PRJNA412424
# Submitter:      Hanyang University
# Date:           2017-12-05
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PDMY01
# Assembly method: AllPaths-LG v. 51993; SSPACE-LongRead v. 1-1; OPERA v. 2.0.1
# Expected final version: yes
# Genome coverage: 243.8x
# Sequencing technology: Illumina HiSeq; PacBio
# GenBank assembly accession: GCA_002798355.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002798365.1		Primary Assembly
## GCA_002798375.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Ogye_chr1	assembled-molecule	1	Chromosome	CM008828.1	<>	na	Primary Assembly	196835485	na
Ogye_chr2	assembled-molecule	2	Chromosome	CM008829.1	<>	na	Primary Assembly	148035610	na
Ogye_chr3	assembled-molecule	3	Chromosome	CM008830.1	<>	na	Primary Assembly	110772064	na
Ogye_chr4	assembled-molecule	4	Chromosome	CM008831.1	<>	na	Primary Assembly	90110113	na
Ogye_chr5	assembled-molecule	5	Chromosome	CM008832.1	<>	na	Primary Assembly	58732768	na
Ogye_chr6	assembled-molecule	6	Chromosome	CM008833.1	<>	na	Primary Assembly	34928511	na
Ogye_chr7	assembled-molecule	7	Chromosome	CM008834.1	<>	na	Primary Assembly	36234695	na
Ogye_chr8	assembled-molecule	8	Chromosome	CM008835.1	<>	na	Primary Assembly	29293246	na
Ogye_chr9	assembled-molecule	9	Chromosome	CM008836.1	<>	na	Primary Assembly	23365841	na
Ogye_chr10	assembled-molecule	10	Chromosome	CM008837.1	<>	na	Primary Assembly	19704242	na
Ogye_chr11	assembled-molecule	11	Chromosome	CM008838.1	<>	na	Primary Assembly	19704615	na
Ogye_chr12	assembled-molecule	12	Chromosome	CM008839.1	<>	na	Primary Assembly	19908671	na
Ogye_chr13	assembled-molecule	13	Chromosome	CM008840.1	<>	na	Primary Assembly	17722247	na
Ogye_chr14	assembled-molecule	14	Chromosome	CM008841.1	<>	na	Primary Assembly	15702163	na
Ogye_chr15	assembled-molecule	15	Chromosome	CM008842.1	<>	na	Primary Assembly	12680703	na
Ogye_chr16	assembled-molecule	16	Chromosome	CM008843.1	<>	na	Primary Assembly	527976	na
Ogye_chr17	assembled-molecule	17	Chromosome	CM008844.1	<>	na	Primary Assembly	10250234	na
Ogye_chr18	assembled-molecule	18	Chromosome	CM008845.1	<>	na	Primary Assembly	11022915	na
