# Assembly name:  Nana_v5
# Organism name:  Naja naja (Indian cobra)
# Isolate:  NN01
# Sex:  male
# Taxid:          35670
# BioSample:      SAMN11155092
# BioProject:     PRJNA527614
# Submitter:      Genentech Inc.,
# Date:           2019-12-11
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    SOZL01
# Assembly method: Canu v. v1.6
# Expected final version: yes
# Genome coverage: 60.0x
# Sequencing technology: Oxford Nanopore; PacBio RSII; PacBio Sequel; Illumina HiSeq; Bionano
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_009733165.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009733555.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ScVE01q_1090;HRSCAF=1250	assembled-molecule	1	Chromosome	CM019148.1	<>	na	Primary Assembly	375026955	na
ScVE01q_1317;HRSCAF=1506	assembled-molecule	2	Chromosome	CM019149.1	<>	na	Primary Assembly	309871788	na
ScVE01q_965;HRSCAF=1107	assembled-molecule	3	Chromosome	CM019150.1	<>	na	Primary Assembly	224088900	na
ScVE01q_3;HRSCAF=25	assembled-molecule	4	Chromosome	CM019151.1	<>	na	Primary Assembly	191024962	na
ScVE01q_1539;HRSCAF=1758	assembled-molecule	5	Chromosome	CM019152.1	<>	na	Primary Assembly	62775154	na
ScVE01q_1725;HRSCAF=1971	assembled-molecule	6	Chromosome	CM019153.1	<>	na	Primary Assembly	54008553	na
ScVE01q_1377;HRSCAF=1575	assembled-molecule	7	Chromosome	CM019154.1	<>	na	Primary Assembly	53796468	na
ScVE01q_1465;HRSCAF=1671	assembled-molecule	Z	Chromosome	CM019155.1	<>	na	Primary Assembly	154607413	na
ScVE01q_1043;HRSCAF=1199	assembled-molecule	MIC_1	Chromosome	CM019156.1	<>	na	Primary Assembly	32026552	na
ScVE01q_1635;HRSCAF=1871	assembled-molecule	MIC_2	Chromosome	CM019159.1	<>	na	Primary Assembly	30264392	na
ScVE01q_2;HRSCAF=16	assembled-molecule	MIC_3	Chromosome	CM019160.1	<>	na	Primary Assembly	29932115	na
ScVE01q_533;HRSCAF=621	assembled-molecule	MIC_4	Chromosome	CM019161.1	<>	na	Primary Assembly	25974797	na
ScVE01q_1130;HRSCAF=1298	assembled-molecule	MIC_5	Chromosome	CM019162.1	<>	na	Primary Assembly	25174854	na
ScVE01q_807;HRSCAF=927	assembled-molecule	MIC_6	Chromosome	CM019163.1	<>	na	Primary Assembly	23367679	na
ScVE01q_1131;HRSCAF=1299	assembled-molecule	MIC_7	Chromosome	CM019164.1	<>	na	Primary Assembly	20042958	na
ScVE01q_768;HRSCAF=884	assembled-molecule	MIC_8	Chromosome	CM019165.1	<>	na	Primary Assembly	17750283	na
ScVE01q_6;HRSCAF=32	assembled-molecule	MIC_9	Chromosome	CM019166.1	<>	na	Primary Assembly	15339066	na
ScVE01q_1;HRSCAF=4	assembled-molecule	MIC_10	Chromosome	CM019157.1	<>	na	Primary Assembly	11847348	na
ScVE01q_221;HRSCAF=275	assembled-molecule	MIC_11	Chromosome	CM019158.1	<>	na	Primary Assembly	10772589	na
ScVE01q_1000;HRSCAF=1147	unplaced-scaffold	na	na	SOZL01000995.1	<>	na	Primary Assembly	20717	na
ScVE01q_1001;HRSCAF=1148	unplaced-scaffold	na	na	SOZL01000996.1	<>	na	Primary Assembly	39017	na
ScVE01q_1002;HRSCAF=1149	unplaced-scaffold	na	na	SOZL01000997.1	<>	na	Primary Assembly	16704	na
ScVE01q_1003;HRSCAF=1150	unplaced-scaffold	na	na	SOZL01000998.1	<>	na	Primary Assembly	4793	na
ScVE01q_1004;HRSCAF=1151	unplaced-scaffold	na	na	SOZL01000999.1	<>	na	Primary Assembly	7959	na
ScVE01q_1005;HRSCAF=1152	unplaced-scaffold	na	na	SOZL01001000.1	<>	na	Primary Assembly	12089	na
ScVE01q_1006;HRSCAF=1153	unplaced-scaffold	na	na	SOZL01001001.1	<>	na	Primary Assembly	14405	na
ScVE01q_1007;HRSCAF=1154	unplaced-scaffold	na	na	SOZL01001002.1	<>	na	Primary Assembly	41116	na
ScVE01q_1008;HRSCAF=1157	unplaced-scaffold	na	na	SOZL01001003.1	<>	na	Primary Assembly	49664	na
ScVE01q_1009;HRSCAF=1158	unplaced-scaffold	na	na	SOZL01001004.1	<>	na	Primary Assembly	17038	na
ScVE01q_100;HRSCAF=145	unplaced-scaffold	na	na	SOZL01000099.1	<>	na	Primary Assembly	63289	na
ScVE01q_1010;HRSCAF=1159	unplaced-scaffold	na	na	SOZL01001005.1	<>	na	Primary Assembly	34039	na
ScVE01q_1011;HRSCAF=1160	unplaced-scaffold	na	na	SOZL01001006.1	<>	na	Primary Assembly	95318	na
ScVE01q_1012;HRSCAF=1161	unplaced-scaffold	na	na	SOZL01001007.1	<>	na	Primary Assembly	50200	na
