# Assembly name:  LU_Pmuni_1.1
# Organism name:  Podarcis muralis nigriventris (Common wall lizard)
# Isolate:  SMA-M2-Green
# Sex:  male
# Taxid:          1534827
# BioSample:      SAMN16078633
# BioProject:     PRJNA662234
# Submitter:      Lund University
# Date:           2020-09-23
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JACVSS01
# Assembly method: Wtdbg2 v. April-2020
# Expected final version: yes
# Genome coverage: 90.0x
# Sequencing technology: Oxford Nanopore PromethION
# GenBank assembly accession: GCA_014706415.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_014706485.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Super-Scaffold_100001	assembled-molecule	1	Chromosome	CM025938.1	<>	na	Primary Assembly	123151900	na
Super-Scaffold_100002	assembled-molecule	2	Chromosome	CM025939.1	<>	na	Primary Assembly	111766777	na
Super-Scaffold_6778	assembled-molecule	3	Chromosome	CM025940.1	<>	na	Primary Assembly	112813751	na
Super-Scaffold_100004	assembled-molecule	4	Chromosome	CM025941.1	<>	na	Primary Assembly	91547263	na
Super-Scaffold_100006	assembled-molecule	5	Chromosome	CM025942.1	<>	na	Primary Assembly	84076254	na
Super-Scaffold_454	assembled-molecule	6	Chromosome	CM025943.1	<>	na	Primary Assembly	90552724	na
Super-Scaffold_100007	assembled-molecule	7	Chromosome	CM025944.1	<>	na	Primary Assembly	75510584	na
Super-Scaffold_1125	assembled-molecule	8	Chromosome	CM025945.1	<>	na	Primary Assembly	81520716	na
Super-Scaffold_100009	assembled-molecule	9	Chromosome	CM025946.1	<>	na	Primary Assembly	63563257	na
Super-Scaffold_100010	assembled-molecule	10	Chromosome	CM025947.1	<>	na	Primary Assembly	57541797	na
Super-Scaffold_100011	assembled-molecule	11	Chromosome	CM025948.1	<>	na	Primary Assembly	50891059	na
Super-Scaffold_100013	assembled-molecule	12	Chromosome	CM025949.1	<>	na	Primary Assembly	48936963	na
Super-Scaffold_100017	assembled-molecule	13	Chromosome	CM025950.1	<>	na	Primary Assembly	39762503	na
Super-Scaffold_100018	assembled-molecule	14	Chromosome	CM025951.1	<>	na	Primary Assembly	37955890	na
Super-Scaffold_365	assembled-molecule	15	Chromosome	CM025952.1	<>	na	Primary Assembly	46456157	na
Super-Scaffold_100016	assembled-molecule	16	Chromosome	CM025953.1	<>	na	Primary Assembly	43229300	na
Super-Scaffold_100015	assembled-molecule	17	Chromosome	CM025954.1	<>	na	Primary Assembly	42153725	na
Super-Scaffold_100044	assembled-molecule	18	Chromosome	CM025955.1	<>	na	Primary Assembly	10986872	na
Super-Scaffold_4251	assembled-molecule	Z	Chromosome	CM025956.1	<>	na	Primary Assembly	51203085	na
Super-Scaffold_100019	unlocalized-scaffold	4	Chromosome	JACVSS010000023.1	<>	na	Primary Assembly	27982580	na
Super-Scaffold_100020	unplaced-scaffold	na	na	JACVSS010000024.1	<>	na	Primary Assembly	20284846	na
Super-Scaffold_100022	unplaced-scaffold	na	na	JACVSS010000025.1	<>	na	Primary Assembly	7362510	na
Super-Scaffold_100024	unplaced-scaffold	na	na	JACVSS010000026.1	<>	na	Primary Assembly	595016	na
Super-Scaffold_100026	unplaced-scaffold	na	na	JACVSS010000027.1	<>	na	Primary Assembly	8310592	na
Super-Scaffold_100029	unplaced-scaffold	na	na	JACVSS010000028.1	<>	na	Primary Assembly	1484984	na
Super-Scaffold_100030	unplaced-scaffold	na	na	JACVSS010000029.1	<>	na	Primary Assembly	10121311	na
Super-Scaffold_100032	unplaced-scaffold	na	na	JACVSS010000030.1	<>	na	Primary Assembly	11843729	na
Super-Scaffold_100034	unplaced-scaffold	na	na	JACVSS010000031.1	<>	na	Primary Assembly	12530779	na
Super-Scaffold_100035	unplaced-scaffold	na	na	JACVSS010000032.1	<>	na	Primary Assembly	88627	na
Super-Scaffold_100036	unplaced-scaffold	na	na	JACVSS010000033.1	<>	na	Primary Assembly	7333777	na
Super-Scaffold_100038	unplaced-scaffold	na	na	JACVSS010000034.1	<>	na	Primary Assembly	11466425	na
Super-Scaffold_100039	unplaced-scaffold	na	na	JACVSS010000035.1	<>	na	Primary Assembly	11771829	na
Super-Scaffold_100040	unplaced-scaffold	na	na	JACVSS010000036.1	<>	na	Primary Assembly	10017069	na
Super-Scaffold_100041	unplaced-scaffold	na	na	JACVSS010000037.1	<>	na	Primary Assembly	10093028	na
Super-Scaffold_100042	unplaced-scaffold	na	na	JACVSS010000038.1	<>	na	Primary Assembly	2701994	na
Super-Scaffold_100043	unplaced-scaffold	na	na	JACVSS010000039.1	<>	na	Primary Assembly	10220020	na
Super-Scaffold_100045	unplaced-scaffold	na	na	JACVSS010000041.1	<>	na	Primary Assembly	8911620	na
Super-Scaffold_100046	unplaced-scaffold	na	na	JACVSS010000042.1	<>	na	Primary Assembly	9709281	na
Super-Scaffold_100048	unplaced-scaffold	na	na	JACVSS010000043.1	<>	na	Primary Assembly	8701115	na
Super-Scaffold_100052	unplaced-scaffold	na	na	JACVSS010000044.1	<>	na	Primary Assembly	6366505	na
Super-Scaffold_100053	unplaced-scaffold	na	na	JACVSS010000045.1	<>	na	Primary Assembly	6319672	na
Super-Scaffold_100054	unplaced-scaffold	na	na	JACVSS010000046.1	<>	na	Primary Assembly	8693179	na
Super-Scaffold_100055	unplaced-scaffold	na	na	JACVSS010000047.1	<>	na	Primary Assembly	1303087	na
Super-Scaffold_100057	unplaced-scaffold	na	na	JACVSS010000048.1	<>	na	Primary Assembly	3483600	na
Super-Scaffold_100065	unplaced-scaffold	na	na	JACVSS010000049.1	<>	na	Primary Assembly	3141377	na
Super-Scaffold_100067	unplaced-scaffold	na	na	JACVSS010000050.1	<>	na	Primary Assembly	7517564	na
Super-Scaffold_100069	unplaced-scaffold	na	na	JACVSS010000051.1	<>	na	Primary Assembly	6118314	na
Super-Scaffold_100070	unplaced-scaffold	na	na	JACVSS010000052.1	<>	na	Primary Assembly	894411	na
Super-Scaffold_100075	unplaced-scaffold	na	na	JACVSS010000053.1	<>	na	Primary Assembly	7215555	na
Super-Scaffold_100076	unplaced-scaffold	na	na	JACVSS010000054.1	<>	na	Primary Assembly	2084003	na
Super-Scaffold_100077	unplaced-scaffold	na	na	JACVSS010000055.1	<>	na	Primary Assembly	5470476	na
Super-Scaffold_100078	unplaced-scaffold	na	na	JACVSS010000056.1	<>	na	Primary Assembly	3713921	na
Super-Scaffold_100080	unplaced-scaffold	na	na	JACVSS010000057.1	<>	na	Primary Assembly	6552247	na
Super-Scaffold_100086	unplaced-scaffold	na	na	JACVSS010000058.1	<>	na	Primary Assembly	796460	na
Super-Scaffold_100087	unplaced-scaffold	na	na	JACVSS010000059.1	<>	na	Primary Assembly	291587	na
Super-Scaffold_100089	unplaced-scaffold	na	na	JACVSS010000060.1	<>	na	Primary Assembly	6080038	na
Super-Scaffold_100095	unplaced-scaffold	na	na	JACVSS010000061.1	<>	na	Primary Assembly	971012	na
Super-Scaffold_100098	unplaced-scaffold	na	na	JACVSS010000062.1	<>	na	Primary Assembly	3540300	na
Super-Scaffold_100100	unplaced-scaffold	na	na	JACVSS010000063.1	<>	na	Primary Assembly	4588845	na
Super-Scaffold_100102	unplaced-scaffold	na	na	JACVSS010000064.1	<>	na	Primary Assembly	179362	na
Super-Scaffold_100104	unplaced-scaffold	na	na	JACVSS010000065.1	<>	na	Primary Assembly	2766477	na
Super-Scaffold_100108	unplaced-scaffold	na	na	JACVSS010000066.1	<>	na	Primary Assembly	436062	na
Super-Scaffold_100109	unplaced-scaffold	na	na	JACVSS010000067.1	<>	na	Primary Assembly	2725765	na
Super-Scaffold_100110	unplaced-scaffold	na	na	JACVSS010000068.1	<>	na	Primary Assembly	277257	na
Super-Scaffold_100112	unplaced-scaffold	na	na	JACVSS010000069.1	<>	na	Primary Assembly	4030974	na
Super-Scaffold_100114	unplaced-scaffold	na	na	JACVSS010000070.1	<>	na	Primary Assembly	1428649	na
Super-Scaffold_100115	unplaced-scaffold	na	na	JACVSS010000071.1	<>	na	Primary Assembly	2881128	na
Super-Scaffold_100128	unplaced-scaffold	na	na	JACVSS010000072.1	<>	na	Primary Assembly	1807446	na
Super-Scaffold_100131	unplaced-scaffold	na	na	JACVSS010000073.1	<>	na	Primary Assembly	1223490	na
Super-Scaffold_100135	unplaced-scaffold	na	na	JACVSS010000074.1	<>	na	Primary Assembly	2766307	na
Super-Scaffold_100140	unplaced-scaffold	na	na	JACVSS010000075.1	<>	na	Primary Assembly	1572794	na
Super-Scaffold_100142	unplaced-scaffold	na	na	JACVSS010000076.1	<>	na	Primary Assembly	3079226	na
Super-Scaffold_100146	unplaced-scaffold	na	na	JACVSS010000077.1	<>	na	Primary Assembly	3378371	na
Super-Scaffold_100151	unplaced-scaffold	na	na	JACVSS010000078.1	<>	na	Primary Assembly	722854	na
Super-Scaffold_100153	unplaced-scaffold	na	na	JACVSS010000079.1	<>	na	Primary Assembly	1172206	na
Super-Scaffold_100156	unplaced-scaffold	na	na	JACVSS010000080.1	<>	na	Primary Assembly	2935600	na
Super-Scaffold_100157	unplaced-scaffold	na	na	JACVSS010000081.1	<>	na	Primary Assembly	2581705	na
Super-Scaffold_100158	unplaced-scaffold	na	na	JACVSS010000082.1	<>	na	Primary Assembly	1837691	na
Super-Scaffold_100173	unplaced-scaffold	na	na	JACVSS010000083.1	<>	na	Primary Assembly	2400243	na
Super-Scaffold_100180	unplaced-scaffold	na	na	JACVSS010000084.1	<>	na	Primary Assembly	506005	na
Super-Scaffold_100181	unplaced-scaffold	na	na	JACVSS010000085.1	<>	na	Primary Assembly	1632067	na
Super-Scaffold_100187	unplaced-scaffold	na	na	JACVSS010000086.1	<>	na	Primary Assembly	1354604	na
Super-Scaffold_100190	unplaced-scaffold	na	na	JACVSS010000087.1	<>	na	Primary Assembly	962492	na
Super-Scaffold_100201	unplaced-scaffold	na	na	JACVSS010000088.1	<>	na	Primary Assembly	598600	na
Super-Scaffold_100215	unplaced-scaffold	na	na	JACVSS010000089.1	<>	na	Primary Assembly	960025	na
Super-Scaffold_100219	unplaced-scaffold	na	na	JACVSS010000090.1	<>	na	Primary Assembly	1414250	na
Super-Scaffold_100239	unplaced-scaffold	na	na	JACVSS010000091.1	<>	na	Primary Assembly	110600	na
Super-Scaffold_100251	unplaced-scaffold	na	na	JACVSS010000092.1	<>	na	Primary Assembly	903171	na
Super-Scaffold_100259	unplaced-scaffold	na	na	JACVSS010000093.1	<>	na	Primary Assembly	217027	na
Super-Scaffold_100260	unplaced-scaffold	na	na	JACVSS010000094.1	<>	na	Primary Assembly	394914	na
Super-Scaffold_100262	unplaced-scaffold	na	na	JACVSS010000095.1	<>	na	Primary Assembly	1161380	na
Super-Scaffold_100263	unplaced-scaffold	na	na	JACVSS010000096.1	<>	na	Primary Assembly	269263	na
Super-Scaffold_100266	unplaced-scaffold	na	na	JACVSS010000097.1	<>	na	Primary Assembly	256471	na
Super-Scaffold_100268	unplaced-scaffold	na	na	JACVSS010000098.1	<>	na	Primary Assembly	375793	na
Super-Scaffold_100275	unplaced-scaffold	na	na	JACVSS010000099.1	<>	na	Primary Assembly	168847	na
Super-Scaffold_100296	unplaced-scaffold	na	na	JACVSS010000100.1	<>	na	Primary Assembly	180047	na
Super-Scaffold_100298	unplaced-scaffold	na	na	JACVSS010000101.1	<>	na	Primary Assembly	650244	na
Super-Scaffold_100299	unplaced-scaffold	na	na	JACVSS010000102.1	<>	na	Primary Assembly	413448	na
Super-Scaffold_100370	unplaced-scaffold	na	na	JACVSS010000103.1	<>	na	Primary Assembly	2640584	na
Super-Scaffold_100545	unplaced-scaffold	na	na	JACVSS010000104.1	<>	na	Primary Assembly	84779	na
Super-Scaffold_100624	unplaced-scaffold	na	na	JACVSS010000105.1	<>	na	Primary Assembly	897173	na
Super-Scaffold_10831	unplaced-scaffold	na	na	JACVSS010000009.1	<>	na	Primary Assembly	1848144	na
Super-Scaffold_153	unplaced-scaffold	na	na	JACVSS010000001.1	<>	na	Primary Assembly	1218498	na
Super-Scaffold_231	unplaced-scaffold	na	na	JACVSS010000002.1	<>	na	Primary Assembly	7404114	na
Super-Scaffold_9809	unplaced-scaffold	na	na	JACVSS010000008.1	<>	na	Primary Assembly	12376488	na
ctg1000_segment0_obj	unplaced-scaffold	na	na	JACVSS010002153.1	<>	na	Primary Assembly	33374	na
ctg1001_segment0_obj	unplaced-scaffold	na	na	JACVSS010000201.1	<>	na	Primary Assembly	27041	na
ctg1002_segment0_obj	unplaced-scaffold	na	na	JACVSS010001376.1	<>	na	Primary Assembly	32055	na
ctg1004_segment0_obj	unplaced-scaffold	na	na	JACVSS010002593.1	<>	na	Primary Assembly	50654	na
ctg1005_segment0_obj	unplaced-scaffold	na	na	JACVSS010001413.1	<>	na	Primary Assembly	32567	na
ctg1007_segment0_obj	unplaced-scaffold	na	na	JACVSS010000248.1	<>	na	Primary Assembly	33291	na
ctg1008_segment0_obj	unplaced-scaffold	na	na	JACVSS010000958.1	<>	na	Primary Assembly	31716	na
ctg1009_segment0_obj	unplaced-scaffold	na	na	JACVSS010001910.1	<>	na	Primary Assembly	64884	na
ctg100_segment0_subseq_1:95667_obj	unplaced-scaffold	na	na	JACVSS010000648.1	<>	na	Primary Assembly	95667	na
ctg100_segment1_subseq_331302:553380_obj	unplaced-scaffold	na	na	JACVSS010002202.1	<>	na	Primary Assembly	222079	na
ctg1010_segment0_obj	unplaced-scaffold	na	na	JACVSS010002110.1	<>	na	Primary Assembly	15001	na
ctg1011_segment0_obj	unplaced-scaffold	na	na	JACVSS010001607.1	<>	na	Primary Assembly	29662	na
ctg1012_segment0_obj	unplaced-scaffold	na	na	JACVSS010000917.1	<>	na	Primary Assembly	31305	na
ctg1013_segment0_obj	unplaced-scaffold	na	na	JACVSS010000322.1	<>	na	Primary Assembly	28364	na
ctg1014_segment0_obj	unplaced-scaffold	na	na	JACVSS010001070.1	<>	na	Primary Assembly	31548	na
ctg1015_segment0_obj	unplaced-scaffold	na	na	JACVSS010002038.1	<>	na	Primary Assembly	33329	na
ctg1016_segment0_obj	unplaced-scaffold	na	na	JACVSS010002763.1	<>	na	Primary Assembly	32620	na
ctg1017_segment0_obj	unplaced-scaffold	na	na	JACVSS010003208.1	<>	na	Primary Assembly	31945	na
ctg1018_segment0_obj	unplaced-scaffold	na	na	JACVSS010000711.1	<>	na	Primary Assembly	32792	na
ctg1019_segment0_obj	unplaced-scaffold	na	na	JACVSS010000436.1	<>	na	Primary Assembly	28650	na
ctg101_segment1_subseq_505994:574726_obj	unplaced-scaffold	na	na	JACVSS010000181.1	<>	na	Primary Assembly	68733	na
ctg1020_segment0_obj	unplaced-scaffold	na	na	JACVSS010003083.1	<>	na	Primary Assembly	32941	na
ctg1021_segment0_obj	unplaced-scaffold	na	na	JACVSS010000143.1	<>	na	Primary Assembly	6158	na
ctg1021_segment1_obj	unplaced-scaffold	na	na	JACVSS010003515.1	<>	na	Primary Assembly	349	na
ctg1021_segment2_obj	unplaced-scaffold	na	na	JACVSS010000985.1	<>	na	Primary Assembly	490	na
ctg1021_segment3_obj	unplaced-scaffold	na	na	JACVSS010000976.1	<>	na	Primary Assembly	2457	na
ctg1022_segment0_obj	unplaced-scaffold	na	na	JACVSS010002147.1	<>	na	Primary Assembly	32875	na
ctg1023_segment0_obj	unplaced-scaffold	na	na	JACVSS010003117.1	<>	na	Primary Assembly	33049	na
ctg1024_segment0_obj	unplaced-scaffold	na	na	JACVSS010000563.1	<>	na	Primary Assembly	32505	na
ctg1025_segment0_obj	unplaced-scaffold	na	na	JACVSS010000735.1	<>	na	Primary Assembly	29313	na
ctg1026_segment0_obj	unplaced-scaffold	na	na	JACVSS010001485.1	<>	na	Primary Assembly	32280	na
ctg1027_segment0_obj	unplaced-scaffold	na	na	JACVSS010002664.1	<>	na	Primary Assembly	51704	na
ctg1028_segment0_obj	unplaced-scaffold	na	na	JACVSS010000243.1	<>	na	Primary Assembly	31976	na
ctg1029_segment0_obj	unplaced-scaffold	na	na	JACVSS010001350.1	<>	na	Primary Assembly	32216	na
ctg102_segment0_subseq_1617538:1698340_obj	unplaced-scaffold	na	na	JACVSS010002119.1	<>	na	Primary Assembly	80803	na
ctg1030_segment0_obj	unplaced-scaffold	na	na	JACVSS010002890.1	<>	na	Primary Assembly	27044	na
ctg1031_segment0_obj	unplaced-scaffold	na	na	JACVSS010001948.1	<>	na	Primary Assembly	20371	na
ctg1032_segment0_obj	unplaced-scaffold	na	na	JACVSS010002490.1	<>	na	Primary Assembly	32599	na
ctg1033_segment0_obj	unplaced-scaffold	na	na	JACVSS010001115.1	<>	na	Primary Assembly	32429	na
ctg1034_segment0_obj	unplaced-scaffold	na	na	JACVSS010000728.1	<>	na	Primary Assembly	62929	na
ctg1035_segment0_obj	unplaced-scaffold	na	na	JACVSS010003233.1	<>	na	Primary Assembly	2904	na
ctg1035_segment1_obj	unplaced-scaffold	na	na	JACVSS010000464.1	<>	na	Primary Assembly	462	na
ctg1036_segment0_obj	unplaced-scaffold	na	na	JACVSS010002747.1	<>	na	Primary Assembly	32513	na
ctg1037_segment0_obj	unplaced-scaffold	na	na	JACVSS010003056.1	<>	na	Primary Assembly	32278	na
ctg1038_segment0_obj	unplaced-scaffold	na	na	JACVSS010000296.1	<>	na	Primary Assembly	23045	na
ctg1039_segment0_obj	unplaced-scaffold	na	na	JACVSS010001535.1	<>	na	Primary Assembly	32475	na
ctg103_segment0_subseq_1021048:1454330_obj	unplaced-scaffold	na	na	JACVSS010000416.1	<>	na	Primary Assembly	433283	na
ctg103_segment0_subseq_1578947:1737241_obj	unplaced-scaffold	na	na	JACVSS010001405.1	<>	na	Primary Assembly	158295	na
ctg1040_segment0_obj	unplaced-scaffold	na	na	JACVSS010003502.1	<>	na	Primary Assembly	11150	na
ctg1041_segment0_obj	unplaced-scaffold	na	na	JACVSS010000551.1	<>	na	Primary Assembly	32997	na
ctg1042_segment0_obj	unplaced-scaffold	na	na	JACVSS010003498.1	<>	na	Primary Assembly	31864	na
ctg1043_segment0_obj	unplaced-scaffold	na	na	JACVSS010000553.1	<>	na	Primary Assembly	28109	na
ctg1044_segment0_obj	unplaced-scaffold	na	na	JACVSS010000149.1	<>	na	Primary Assembly	22284	na
ctg1044_segment1_obj	unplaced-scaffold	na	na	JACVSS010002634.1	<>	na	Primary Assembly	267	na
ctg1045_segment0_obj	unplaced-scaffold	na	na	JACVSS010001218.1	<>	na	Primary Assembly	18206	na
ctg1046_segment0_obj	unplaced-scaffold	na	na	JACVSS010000226.1	<>	na	Primary Assembly	40578	na
ctg1047_segment0_obj	unplaced-scaffold	na	na	JACVSS010002718.1	<>	na	Primary Assembly	1029	na
ctg1047_segment1_obj	unplaced-scaffold	na	na	JACVSS010001723.1	<>	na	Primary Assembly	331	na
ctg1048_segment0_obj	unplaced-scaffold	na	na	JACVSS010001110.1	<>	na	Primary Assembly	14610	na
ctg1049_segment0_obj	unplaced-scaffold	na	na	JACVSS010001645.1	<>	na	Primary Assembly	15528	na
ctg1050_segment0_obj	unplaced-scaffold	na	na	JACVSS010000701.1	<>	na	Primary Assembly	32294	na
ctg1051_segment0_obj	unplaced-scaffold	na	na	JACVSS010001246.1	<>	na	Primary Assembly	8962	na
ctg1052_segment0_obj	unplaced-scaffold	na	na	JACVSS010003507.1	<>	na	Primary Assembly	678	na
ctg1053_segment0_obj	unplaced-scaffold	na	na	JACVSS010000106.1	<>	na	Primary Assembly	32677	na
ctg1054_segment0_obj	unplaced-scaffold	na	na	JACVSS010003018.1	<>	na	Primary Assembly	32070	na
ctg1055_segment0_obj	unplaced-scaffold	na	na	JACVSS010003183.1	<>	na	Primary Assembly	27036	na
