# Assembly name:  bAquChr1.3
# Organism name:  Aquila chrysaetos chrysaetos (golden eagle)
# Taxid:          223781
# BioSample:      SAMEA994725
# BioProject:     PRJEB27699
# Submitter:      SC
# Date:           2020-07-31
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    UFQG03
# Genome coverage: 60x
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_900496995.3
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_900496994.3		Primary Assembly
## GCA_900496996.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_2_ctg1	assembled-molecule	1	Chromosome	LR606181.1	<>	na	Primary Assembly	85456622	na
Super_Scaffold_1	assembled-molecule	2	Chromosome	LR606182.1	<>	na	Primary Assembly	83001952	na
Super_Scaffold_3	assembled-molecule	3	Chromosome	LR606183.1	<>	na	Primary Assembly	79382107	na
scaffold_4_ctg1	assembled-molecule	4	Chromosome	LR606184.1	<>	na	Primary Assembly	77266225	na
scaffold_5_ctg1	assembled-molecule	5	Chromosome	LR606185.1	<>	na	Primary Assembly	76621501	na
Super_Scaffold_6	assembled-molecule	6	Chromosome	LR606186.1	<>	na	Primary Assembly	54402963	na
scaffold_7_ctg1	assembled-molecule	7	Chromosome	LR606187.1	<>	na	Primary Assembly	47779391	na
scaffold_8_ctg1	assembled-molecule	8	Chromosome	LR606188.1	<>	na	Primary Assembly	46934974	na
scaffold_9_ctg1	assembled-molecule	9	Chromosome	LR606189.1	<>	na	Primary Assembly	45241448	na
scaffold_11_ctg1	assembled-molecule	10	Chromosome	LR606190.1	<>	na	Primary Assembly	43949808	na
scaffold_12_ctg1	assembled-molecule	11	Chromosome	LR606191.1	<>	na	Primary Assembly	43755789	na
scaffold_13_ctg1	assembled-molecule	12	Chromosome	LR606192.1	<>	na	Primary Assembly	43481500	na
scaffold_14_ctg1	assembled-molecule	13	Chromosome	LR606193.1	<>	na	Primary Assembly	41790845	na
scaffold_15_ctg1	assembled-molecule	14	Chromosome	LR606194.1	<>	na	Primary Assembly	34337559	na
Super_Scaffold_4	assembled-molecule	15	Chromosome	LR606195.1	<>	na	Primary Assembly	30976502	na
Super_Scaffold_5	assembled-molecule	16	Chromosome	LR606196.1	<>	na	Primary Assembly	30610376	na
scaffold_16_ctg1	assembled-molecule	17	Chromosome	LR606197.1	<>	na	Primary Assembly	29699254	na
scaffold_17_ctg1	assembled-molecule	18	Chromosome	LR606198.1	<>	na	Primary Assembly	28555659	na
scaffold_1_ctg1	assembled-molecule	19	Chromosome	LR606199.1	<>	na	Primary Assembly	27976474	na
scaffold_20_ctg1	assembled-molecule	20	Chromosome	LR606200.1	<>	na	Primary Assembly	25309643	na
scaffold_21_ctg1	assembled-molecule	21	Chromosome	LR606201.1	<>	na	Primary Assembly	24756580	na
scaffold_22_ctg1	assembled-molecule	22	Chromosome	LR606202.1	<>	na	Primary Assembly	22514005	na
scaffold_24_ctg1	assembled-molecule	23	Chromosome	LR606203.1	<>	na	Primary Assembly	21012167	na
Super_Scaffold_2	assembled-molecule	24	Chromosome	LR606204.1	<>	na	Primary Assembly	20993271	na
scaffold_25_ctg1	assembled-molecule	25	Chromosome	LR606205.1	<>	na	Primary Assembly	19844373	na
scaffold_27_ctg1	assembled-molecule	26	Chromosome	LR606206.1	<>	na	Primary Assembly	17717355	na
Super_Scaffold_7	assembled-molecule	Z	Chromosome	LR606180.1	<>	na	Primary Assembly	88216475	na
contig1	unplaced-scaffold	na	na	UFQG03000001.1	<>	na	Primary Assembly	31655	na
contig2	unplaced-scaffold	na	na	UFQG03000002.1	<>	na	Primary Assembly	31324	na
contig3	unplaced-scaffold	na	na	UFQG03000003.1	<>	na	Primary Assembly	30885	na
contig4	unplaced-scaffold	na	na	UFQG03000004.1	<>	na	Primary Assembly	30397	na
contig5	unplaced-scaffold	na	na	UFQG03000005.1	<>	na	Primary Assembly	28447	na
contig6	unplaced-scaffold	na	na	UFQG03000006.1	<>	na	Primary Assembly	27694	na
contig7	unplaced-scaffold	na	na	UFQG03000007.1	<>	na	Primary Assembly	27470	na
contig8	unplaced-scaffold	na	na	UFQG03000008.1	<>	na	Primary Assembly	27199	na
contig9	unplaced-scaffold	na	na	UFQG03000009.1	<>	na	Primary Assembly	26604	na
contig10	unplaced-scaffold	na	na	UFQG03000010.1	<>	na	Primary Assembly	26023	na
contig11	unplaced-scaffold	na	na	UFQG03000011.1	<>	na	Primary Assembly	25657	na
contig12	unplaced-scaffold	na	na	UFQG03000012.1	<>	na	Primary Assembly	25587	na
contig13	unplaced-scaffold	na	na	UFQG03000013.1	<>	na	Primary Assembly	25309	na
contig14	unplaced-scaffold	na	na	UFQG03000014.1	<>	na	Primary Assembly	24476	na
contig15	unplaced-scaffold	na	na	UFQG03000015.1	<>	na	Primary Assembly	24466	na
contig16	unplaced-scaffold	na	na	UFQG03000016.1	<>	na	Primary Assembly	24207	na
contig17	unplaced-scaffold	na	na	UFQG03000017.1	<>	na	Primary Assembly	24175	na
