# Assembly name:  UTA_CroVir_3.0
# Organism name:  Crotalus viridis viridis (prairie rattlesnake)
# Sex:  male
# Taxid:          8742
# BioSample:      SAMN07738522
# BioProject:     PRJNA413201
# Submitter:      University of Texas at Arlington
# Date:           2019-01-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    PDHV02
# Assembly method: Dovetail Genomics HiRise v. 2.1.3-59a1db48d61f
# Expected final version: yes
# Genome coverage: 1000.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_003400415.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003400425.2		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold-ma1	assembled-molecule	1	Chromosome	CM012306.1	<>	na	Primary Assembly	311712589	na
scaffold-ma2	assembled-molecule	2	Chromosome	CM012307.1	<>	na	Primary Assembly	230514893	na
scaffold-ma3	assembled-molecule	3	Chromosome	CM012308.1	<>	na	Primary Assembly	179897795	na
scaffold-ma4	assembled-molecule	4	Chromosome	CM012309.1	<>	na	Primary Assembly	103290658	na
scaffold-ma5	assembled-molecule	5	Chromosome	CM012310.1	<>	na	Primary Assembly	87326383	na
scaffold-ma6	assembled-molecule	6	Chromosome	CM012311.1	<>	na	Primary Assembly	69529916	na
scaffold-ma7	assembled-molecule	7	Chromosome	CM012312.1	<>	na	Primary Assembly	61662597	na
scaffold-mi1	assembled-molecule	9	Chromosome	CM012313.1	<>	na	Primary Assembly	22521304	na
scaffold-mi2	assembled-molecule	10	Chromosome	CM012314.1	<>	na	Primary Assembly	19978502	na
scaffold-mi3	assembled-molecule	11	Chromosome	CM012315.1	<>	na	Primary Assembly	16785021	na
scaffold-mi4	assembled-molecule	12	Chromosome	CM012316.1	<>	na	Primary Assembly	16736725	na
scaffold-mi5	assembled-molecule	13	Chromosome	CM012317.1	<>	na	Primary Assembly	13784772	na
scaffold-mi6	assembled-molecule	14	Chromosome	CM012318.1	<>	na	Primary Assembly	13760810	na
scaffold-mi7	assembled-molecule	15	Chromosome	CM012319.1	<>	na	Primary Assembly	12380204	na
scaffold-mi8	assembled-molecule	16	Chromosome	CM012320.1	<>	na	Primary Assembly	10971997	na
scaffold-mi9	assembled-molecule	17	Chromosome	CM012321.1	<>	na	Primary Assembly	6767157	na
scaffold-mi10	assembled-molecule	18	Chromosome	CM012322.1	<>	na	Primary Assembly	5372825	na
scaffold-Z	assembled-molecule	Z	Chromosome	CM012323.1	<>	na	Primary Assembly	113984505	na
scaffold-un10	unplaced-scaffold	na	na	PDHV02000019.1	<>	na	Primary Assembly	4271191	na
scaffold-un100	unplaced-scaffold	na	na	PDHV02000109.1	<>	na	Primary Assembly	67071	na
scaffold-un1000	unplaced-scaffold	na	na	PDHV02001009.1	<>	na	Primary Assembly	3568	na
scaffold-un1001	unplaced-scaffold	na	na	PDHV02001010.1	<>	na	Primary Assembly	3564	na
scaffold-un1002	unplaced-scaffold	na	na	PDHV02001011.1	<>	na	Primary Assembly	3563	na
scaffold-un1003	unplaced-scaffold	na	na	PDHV02001012.1	<>	na	Primary Assembly	3561	na
scaffold-un1004	unplaced-scaffold	na	na	PDHV02001013.1	<>	na	Primary Assembly	3557	na
scaffold-un1005	unplaced-scaffold	na	na	PDHV02001014.1	<>	na	Primary Assembly	3550	na
scaffold-un1006	unplaced-scaffold	na	na	PDHV02001015.1	<>	na	Primary Assembly	3543	na
scaffold-un1007	unplaced-scaffold	na	na	PDHV02001016.1	<>	na	Primary Assembly	3535	na
scaffold-un1008	unplaced-scaffold	na	na	PDHV02001017.1	<>	na	Primary Assembly	3533	na
scaffold-un1009	unplaced-scaffold	na	na	PDHV02001018.1	<>	na	Primary Assembly	3511	na
scaffold-un101	unplaced-scaffold	na	na	PDHV02000110.1	<>	na	Primary Assembly	66882	na
scaffold-un1010	unplaced-scaffold	na	na	PDHV02001019.1	<>	na	Primary Assembly	3509	na
scaffold-un1011	unplaced-scaffold	na	na	PDHV02001020.1	<>	na	Primary Assembly	3500	na
scaffold-un1012	unplaced-scaffold	na	na	PDHV02001021.1	<>	na	Primary Assembly	3456	na
scaffold-un1013	unplaced-scaffold	na	na	PDHV02001022.1	<>	na	Primary Assembly	3445	na
scaffold-un1014	unplaced-scaffold	na	na	PDHV02001023.1	<>	na	Primary Assembly	3440	na
scaffold-un1015	unplaced-scaffold	na	na	PDHV02001024.1	<>	na	Primary Assembly	3438	na
scaffold-un1016	unplaced-scaffold	na	na	PDHV02001025.1	<>	na	Primary Assembly	3430	na
scaffold-un1017	unplaced-scaffold	na	na	PDHV02001026.1	<>	na	Primary Assembly	3427	na
scaffold-un1018	unplaced-scaffold	na	na	PDHV02001027.1	<>	na	Primary Assembly	3421	na
scaffold-un1019	unplaced-scaffold	na	na	PDHV02001028.1	<>	na	Primary Assembly	3419	na
scaffold-un102	unplaced-scaffold	na	na	PDHV02000111.1	<>	na	Primary Assembly	66298	na
scaffold-un1020	unplaced-scaffold	na	na	PDHV02001029.1	<>	na	Primary Assembly	3399	na
scaffold-un1021	unplaced-scaffold	na	na	PDHV02001030.1	<>	na	Primary Assembly	3390	na
scaffold-un1022	unplaced-scaffold	na	na	PDHV02001031.1	<>	na	Primary Assembly	3378	na
scaffold-un1023	unplaced-scaffold	na	na	PDHV02001032.1	<>	na	Primary Assembly	3374	na
scaffold-un1024	unplaced-scaffold	na	na	PDHV02001033.1	<>	na	Primary Assembly	3370	na
scaffold-un1025	unplaced-scaffold	na	na	PDHV02001034.1	<>	na	Primary Assembly	3369	na
scaffold-un1026	unplaced-scaffold	na	na	PDHV02001035.1	<>	na	Primary Assembly	3365	na
scaffold-un1027	unplaced-scaffold	na	na	PDHV02001036.1	<>	na	Primary Assembly	3352	na
scaffold-un1028	unplaced-scaffold	na	na	PDHV02001037.1	<>	na	Primary Assembly	3346	na
scaffold-un1029	unplaced-scaffold	na	na	PDHV02001038.1	<>	na	Primary Assembly	3322	na
