assemblyid	accession	length	chrname	chrtype
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002655.2	123753969	chr1	macro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002656.2	163127350	chr2	macro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002657.2	139544481	chr3	macro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002658.2	40154083	chr4	macro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002659.2	54307347	chr5	macro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002660.2	13104900	chr6	micro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002661.2	49823424	chr7	macro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002662.2	90858768	chr8	macro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM024786.1	105913952	chr9	macro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002663.2	9078292	chr10	micro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002664.2	6969881	chr11	micro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002665.2	20613484	chr13	micro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002666.2	36712884	chr15	macro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002667.2	23325489	chr17	micro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM024787.1	16610827	chr18	micro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002668.2	4762400	chr19	micro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM024788.1	16617724	chr20	micro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002669.2	374423	chr21	micro
GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4	CM002671.2	13725901	chr24	micro
GCA_002798355.1_Ogye1.0	CM008828.1	196835485	Ogye_chr1	macro
GCA_002798355.1_Ogye1.0	CM008829.1	148035610	Ogye_chr2	macro
GCA_002798355.1_Ogye1.0	CM008830.1	110772064	Ogye_chr3	macro
GCA_002798355.1_Ogye1.0	CM008831.1	90110113	Ogye_chr4	macro
GCA_002798355.1_Ogye1.0	CM008832.1	58732768	Ogye_chr5	macro
GCA_002798355.1_Ogye1.0	CM008833.1	34928511	Ogye_chr6	macro
GCA_002798355.1_Ogye1.0	CM008834.1	36234695	Ogye_chr7	macro
