# Assembly name:  mOrnAna1.p.v1
# Organism name:  Ornithorhynchus anatinus (platypus)
# Isolate:  Pmale09
# Sex:  male
# Taxid:          9258
# BioSample:      SAMN08537700
# BioProject:     PRJNA489114
# Submitter:      Vertebrate Genomes Project
# Date:           2019-02-07
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    RZJT01
# Assembly method: FALCON v. 5.1.1; FALCON Unzip v. 1.0.2; purge_haplotigs bit v. 7.10.2018; scaff10X git v. 4.28.2018; Bionano Solve DLS v. 3.2.1; Salsa2 HiC v. 2.0; smrtanalysis Arrow polishing & gap fillingt v. 5.1.0.26412; longranger align v. 2.2.2; freebayes v. 1.2.0; g
# Expected final version: no
# Genome coverage: 58.8x
# Sequencing technology: PacBio RSII; 10X Genomics linked reads; Bionano Genomics DLS; Dovetail Genomics HiC; Arima Genomics
# GenBank assembly accession: GCA_004115215.2
# RefSeq assembly accession: GCF_004115215.1
# RefSeq assembly and GenBank assemblies identical: no
# Linked assembly: GCA_004115175.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_004115275.1	GCF_004115275.1	Primary Assembly
## GCA_005475405.1	GCF_000184245.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Super_Scaffold_1	assembled-molecule	1	Chromosome	CM014200.1	=	NC_041728.1	Primary Assembly	186506016	na
Super_Scaffold_2	assembled-molecule	2	Chromosome	CM014201.1	=	NC_041729.1	Primary Assembly	171719663	na
Super_Scaffold_3	assembled-molecule	3	Chromosome	CM014202.1	=	NC_041730.1	Primary Assembly	141987082	na
Super_Scaffold_4	assembled-molecule	4	Chromosome	CM014203.1	=	NC_041731.1	Primary Assembly	136094389	na
Super_Scaffold_5	assembled-molecule	5	Chromosome	CM014204.1	=	NC_041732.1	Primary Assembly	110293030	na
Super_Scaffold_6	assembled-molecule	6	Chromosome	CM014205.1	=	NC_041733.1	Primary Assembly	51493492	na
Super_Scaffold_7	assembled-molecule	7	Chromosome	CM014206.1	=	NC_041734.1	Primary Assembly	83338043	na
Super_Scaffold_8	assembled-molecule	8	Chromosome	CM014207.1	=	NC_041735.1	Primary Assembly	70949814	na
Super_Scaffold_9	assembled-molecule	9	Chromosome	CM014208.1	=	NC_041736.1	Primary Assembly	61861223	na
Super_Scaffold_10	assembled-molecule	10	Chromosome	CM014209.1	=	NC_041737.1	Primary Assembly	59444696	na
Super_Scaffold_11	assembled-molecule	11	Chromosome	CM014210.1	=	NC_041738.1	Primary Assembly	63506031	na
Super_Scaffold_12	assembled-molecule	12	Chromosome	CM014211.1	=	NC_041739.1	Primary Assembly	60456049	na
Super_Scaffold_13	assembled-molecule	13	Chromosome	CM014212.1	=	NC_041740.1	Primary Assembly	42294642	na
Super_Scaffold_14	assembled-molecule	14	Chromosome	CM014213.1	=	NC_041741.1	Primary Assembly	52889406	na
Super_Scaffold_15	assembled-molecule	15	Chromosome	CM014214.1	=	NC_041742.1	Primary Assembly	26375019	na
Super_Scaffold_16	assembled-molecule	16	Chromosome	CM014215.1	=	NC_041743.1	Primary Assembly	46397275	na
Super_Scaffold_17	assembled-molecule	17	Chromosome	CM014216.1	=	NC_041744.1	Primary Assembly	45536670	na
Super_Scaffold_18	assembled-molecule	18	Chromosome	CM014217.1	=	NC_041745.1	Primary Assembly	44684501	na
Super_Scaffold_19	assembled-molecule	19	Chromosome	CM014218.1	=	NC_041746.1	Primary Assembly	35120541	na
Super_Scaffold_20	assembled-molecule	20	Chromosome	CM014219.1	=	NC_041747.1	Primary Assembly	30535534	na
Super_Scaffold_21	assembled-molecule	21	Chromosome	CM014220.1	=	NC_041748.1	Primary Assembly	24514859	na
Super_Scaffold_X1	assembled-molecule	X1	Chromosome	CM014221.1	=	NC_041749.1	Primary Assembly	125040914	na
Super_Scaffold_X2	assembled-molecule	X2	Chromosome	CM014222.1	=	NC_041750.1	Primary Assembly	29662106	na
Super_Scaffold_X3	assembled-molecule	X3	Chromosome	CM014223.1	=	NC_041751.1	Primary Assembly	33863336	na
Super_Scaffold_X4	assembled-molecule	X4	Chromosome	CM014224.1	=	NC_041752.1	Primary Assembly	8639456	na
Super_Scaffold_X5	assembled-molecule	X5	Chromosome	CM014225.1	=	NC_041753.1	Primary Assembly	70139320	na
Super_Scaffold_Y1	unlocalized-scaffold	Y1	Chromosome	RZJT01000027.1	=	NW_021638003.1	Primary Assembly	1234000	na
Super_Scaffold_Y2	unlocalized-scaffold	Y2	Chromosome	RZJT01000028.1	=	NW_021638004.1	Primary Assembly	4921125	na
Super_Scaffold_Y3	unlocalized-scaffold	Y3	Chromosome	RZJT01000029.1	=	NW_021638005.1	Primary Assembly	3017571	na
Super_Scaffold_Y4	unlocalized-scaffold	Y4	Chromosome	RZJT01000030.1	=	NW_021638006.1	Primary Assembly	1018000	na
Super_Scaffold_Y5	unlocalized-scaffold	Y5	Chromosome	RZJT01000031.1	=	NW_021638007.1	Primary Assembly	578393	na
scaffold_104_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000032.1	=	NW_021638008.1	Primary Assembly	21253	na
scaffold_105_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000033.1	=	NW_021638009.1	Primary Assembly	22077	na
scaffold_109_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000034.1	=	NW_021638010.1	Primary Assembly	71141	na
scaffold_10_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000035.1	=	NW_021638011.1	Primary Assembly	21560	na
scaffold_110_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000036.1	=	NW_021638012.1	Primary Assembly	54713	na
scaffold_111_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000037.1	=	NW_021638013.1	Primary Assembly	29734	na
scaffold_114_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000038.1	=	NW_021638014.1	Primary Assembly	31757	na
scaffold_120_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000039.1	=	NW_021638015.1	Primary Assembly	47469	na
scaffold_121_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000040.1	=	NW_021638016.1	Primary Assembly	54403	na
scaffold_124_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000041.1	=	NW_021638017.1	Primary Assembly	35637	na
scaffold_128_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000042.1	=	NW_021638018.1	Primary Assembly	20317	na
scaffold_133_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000043.1	=	NW_021638019.1	Primary Assembly	20825	na
scaffold_135_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000044.1	=	NW_021638020.1	Primary Assembly	20379	na
scaffold_136_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000045.1	=	NW_021638021.1	Primary Assembly	45841	na
scaffold_138_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000046.1	=	NW_021638022.1	Primary Assembly	45456	na
scaffold_139_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000047.1	=	NW_021638023.1	Primary Assembly	26726	na
scaffold_13_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000048.1	=	NW_021638024.1	Primary Assembly	33166	na
scaffold_142_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000049.1	=	NW_021638025.1	Primary Assembly	23939	na
scaffold_143_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000050.1	=	NW_021638026.1	Primary Assembly	49223	na
scaffold_148_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000051.1	=	NW_021638027.1	Primary Assembly	42988	na
scaffold_14_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000052.1	=	NW_021638028.1	Primary Assembly	27293	na
scaffold_151_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000053.1	=	NW_021638029.1	Primary Assembly	47769	na
scaffold_153_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000054.1	=	NW_021638030.1	Primary Assembly	28511	na
scaffold_155_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000055.1	=	NW_021638031.1	Primary Assembly	22156	na
scaffold_157_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000056.1	=	NW_021638032.1	Primary Assembly	33195	na
scaffold_158_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000057.1	=	NW_021638033.1	Primary Assembly	23641	na
scaffold_159_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000058.1	=	NW_021638034.1	Primary Assembly	27988	na
scaffold_160_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000059.1	=	NW_021638035.1	Primary Assembly	172643	na
scaffold_161_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000060.1	=	NW_021638036.1	Primary Assembly	24924	na
scaffold_162_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000061.1	=	NW_021638037.1	Primary Assembly	25762	na
scaffold_166_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000062.1	=	NW_021638038.1	Primary Assembly	33743	na
scaffold_170_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000063.1	=	NW_021638039.1	Primary Assembly	58652	na
scaffold_175_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000064.1	=	NW_021638040.1	Primary Assembly	1280758	na
scaffold_177_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000065.1	=	NW_021638041.1	Primary Assembly	101532	na
scaffold_178_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000066.1	=	NW_021638042.1	Primary Assembly	53461	na
scaffold_181_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000067.1	=	NW_021638043.1	Primary Assembly	2211240	na
scaffold_184_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000068.1	=	NW_021638044.1	Primary Assembly	38709	na
scaffold_185_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000069.1	=	NW_021638045.1	Primary Assembly	29400	na
scaffold_189_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000070.1	=	NW_021638046.1	Primary Assembly	49779	na
scaffold_193_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000071.1	=	NW_021638047.1	Primary Assembly	33454	na
scaffold_198_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000072.1	=	NW_021638048.1	Primary Assembly	23557	na
scaffold_199_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000073.1	=	NW_021638049.1	Primary Assembly	25347	na
scaffold_200_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000074.1	=	NW_021638050.1	Primary Assembly	33150	na
scaffold_201_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000075.1	=	NW_021638051.1	Primary Assembly	23903	na
scaffold_202_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000076.1	=	NW_021638052.1	Primary Assembly	37825	na
scaffold_204_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000077.1	=	NW_021638053.1	Primary Assembly	23505	na
scaffold_205_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000078.1	=	NW_021638054.1	Primary Assembly	21298	na
scaffold_206_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000079.1	=	NW_021638055.1	Primary Assembly	24111	na
scaffold_208_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000080.1	=	NW_021638056.1	Primary Assembly	32967	na
scaffold_210_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000081.1	=	NW_021638057.1	Primary Assembly	75347	na
scaffold_215_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000082.1	=	NW_021638058.1	Primary Assembly	38593	na
scaffold_218_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000083.1	=	NW_021638059.1	Primary Assembly	92095	na
scaffold_219_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000084.1	=	NW_021638060.1	Primary Assembly	27015	na
scaffold_222_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000085.1	=	NW_021638061.1	Primary Assembly	33590	na
scaffold_224_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000086.1	=	NW_021638062.1	Primary Assembly	1737721	na
scaffold_225_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000087.1	=	NW_021638063.1	Primary Assembly	883485	na
scaffold_226_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000088.1	=	NW_021638064.1	Primary Assembly	49974	na
scaffold_22_arrow_ctg1	unplaced-scaffold	na	na	RZJT01000089.1	=	NW_021638065.1	Primary Assembly	66691	na
