# Assembly name:  bCalAnn1_v1.p
# Organism name:  Calypte anna (Anna's hummingbird)
# Isolate:  BGI_N300
# Sex:  female
# Taxid:          9244
# BioSample:      SAMN02265252
# BioProject:     PRJNA489139
# Submitter:      Vertebrate Genomes Project
# Date:           2019-05-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    RRCD01
# Expected final version: no
# Genome coverage: 54.0x
# Sequencing technology: PacBio RSII; 10X Genomics linked reads; Bionano Genomics DLS; Arima Genomics HiC
# GenBank assembly accession: GCA_003957555.2
# RefSeq assembly accession: GCF_003957555.1
# RefSeq assembly and GenBank assemblies identical: no
# Linked assembly: GCA_003957575.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_003957585.1	GCF_003957585.1	Primary Assembly
## GCA_005459145.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Superscaffold_1	assembled-molecule	1	Chromosome	CM012114.1	=	NC_044244.1	Primary Assembly	197551010	na
Superscaffold_2	assembled-molecule	2	Chromosome	CM012115.1	=	NC_044245.1	Primary Assembly	151342139	na
Superscaffold_3	assembled-molecule	3	Chromosome	CM012116.1	=	NC_044246.1	Primary Assembly	114810999	na
Superscaffold_4	assembled-molecule	4	Chromosome	CM012117.1	=	NC_044247.1	Primary Assembly	18597117	na
Superscaffold_4A	assembled-molecule	4A	Chromosome	CM012143.1	=	NC_044248.1	Primary Assembly	44745344	na
Superscaffold_4B	assembled-molecule	4B	Chromosome	CM012144.1	=	NC_044249.1	Primary Assembly	23291945	na
Superscaffold_5	assembled-molecule	5	Chromosome	CM012118.1	=	NC_044250.1	Primary Assembly	16645885	na
Superscaffold_5A	assembled-molecule	5A	Chromosome	CM012145.1	=	NC_044251.1	Primary Assembly	43880846	na
Superscaffold_6	assembled-molecule	6	Chromosome	CM012119.1	=	NC_044252.1	Primary Assembly	35401958	na
Superscaffold_7	assembled-molecule	7	Chromosome	CM012120.1	=	NC_044253.1	Primary Assembly	39139214	na
Superscaffold_8	assembled-molecule	8	Chromosome	CM012121.1	=	NC_044254.1	Primary Assembly	31090148	na
Superscaffold_9	assembled-molecule	9	Chromosome	CM012122.1	=	NC_044255.1	Primary Assembly	25686456	na
Superscaffold_10	assembled-molecule	10	Chromosome	CM012123.1	=	NC_044256.1	Primary Assembly	22664390	na
Superscaffold_11	assembled-molecule	11	Chromosome	CM012124.1	=	NC_044257.1	Primary Assembly	20302349	na
Superscaffold_12	assembled-molecule	12	Chromosome	CM012125.1	=	NC_044258.1	Primary Assembly	21352500	na
Superscaffold_13	assembled-molecule	13	Chromosome	CM012126.1	=	NC_044259.1	Primary Assembly	17696115	na
Superscaffold_14	assembled-molecule	14	Chromosome	CM012127.1	=	NC_044260.1	Primary Assembly	15497061	na
Superscaffold_15	assembled-molecule	15	Chromosome	CM012128.1	=	NC_044261.1	Primary Assembly	13887164	na
Superscaffold_17	assembled-molecule	17	Chromosome	CM012129.1	=	NC_044262.1	Primary Assembly	10473655	na
Superscaffold_18	assembled-molecule	18	Chromosome	CM012130.1	=	NC_044263.1	Primary Assembly	11617720	na
Superscaffold_19	assembled-molecule	19	Chromosome	CM012131.1	=	NC_044264.1	Primary Assembly	11166003	na
Superscaffold_20	assembled-molecule	20	Chromosome	CM012132.1	=	NC_044265.1	Primary Assembly	15116875	na
Superscaffold_21	assembled-molecule	21	Chromosome	CM012133.1	=	NC_044266.1	Primary Assembly	7710055	na
Superscaffold_22	assembled-molecule	22	Chromosome	CM012134.1	=	NC_044267.1	Primary Assembly	5198135	na
Superscaffold_23	assembled-molecule	23	Chromosome	CM012135.1	=	NC_044268.1	Primary Assembly	6423903	na
Superscaffold_24	assembled-molecule	24	Chromosome	CM012136.1	=	NC_044269.1	Primary Assembly	6461084	na
Superscaffold_25	assembled-molecule	25	Chromosome	CM012137.1	=	NC_044270.1	Primary Assembly	2161911	na
Superscaffold_26	assembled-molecule	26	Chromosome	CM012138.1	=	NC_044271.1	Primary Assembly	6306732	na
Superscaffold_27	assembled-molecule	27	Chromosome	CM012139.1	=	NC_044272.1	Primary Assembly	5749075	na
