# Assembly name:  rThaEle1.pri
# Organism name:  Thamnophis elegans (Western terrestrial garter snake)
# Isolate:  rThaEle1
# Sex:  female
# Taxid:          35005
# BioSample:      SAMN12629499
# BioProject:     PRJNA561996
# Submitter:      Vertebrate Genomes Project
# Date:           2019-12-23
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WNNA01
# Assembly method: FALCON v. DNANexus 1.9.0; FALCON-Unzip v. DNANexus 1.0.6; purge_haplotigs v. v1.0.3+ 1.Nov.2018; scaff10x v. 4.1.0; Bionano Solve DLS v. 3.2.1; Salsa HiC v. 2.2; Arrow smrtanalysis Pacbio polishSing & gap filling v. 6.0.0.47841; longranger align v. 2.2.2; 
# Expected final version: no
# Genome coverage: 62.12x
# Sequencing technology: PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_009769535.1
# RefSeq assembly accession: GCF_009769535.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_009769695.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_009769635.1	GCF_009769635.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Super_Scaffold_2	assembled-molecule	1	Chromosome	CM020096.1	=	NC_045541.1	Primary Assembly	186725308	na
Super_Scaffold_1	assembled-molecule	2	Chromosome	CM020097.1	=	NC_045542.1	Primary Assembly	174860051	na
Super_Scaffold_4	assembled-molecule	3	Chromosome	CM020098.1	=	NC_045543.1	Primary Assembly	152012178	na
Super_Scaffold_3	assembled-molecule	4	Chromosome	CM020099.1	=	NC_045544.1	Primary Assembly	142845885	na
Super_Scaffold_6	assembled-molecule	5	Chromosome	CM020100.1	=	NC_045545.1	Primary Assembly	100851885	na
Super_Scaffold_7	assembled-molecule	6	Chromosome	CM020101.1	=	NC_045546.1	Primary Assembly	88492469	na
Super_Scaffold_8	assembled-molecule	7	Chromosome	CM020102.1	=	NC_045547.1	Primary Assembly	85988580	na
Super_Scaffold_9	assembled-molecule	8	Chromosome	CM020103.1	=	NC_045548.1	Primary Assembly	80819035	na
Super_Scaffold_10	assembled-molecule	9	Chromosome	CM020104.1	=	NC_045549.1	Primary Assembly	77618485	na
Super_Scaffold_11	assembled-molecule	10	Chromosome	CM020105.1	=	NC_045550.1	Primary Assembly	71714719	na
Super_Scaffold_12	assembled-molecule	11	Chromosome	CM020106.1	=	NC_045551.1	Primary Assembly	71291765	na
Super_Scaffold_13	assembled-molecule	12	Chromosome	CM020107.1	=	NC_045552.1	Primary Assembly	60626299	na
Super_Scaffold_14	assembled-molecule	13	Chromosome	CM020108.1	=	NC_045553.1	Primary Assembly	50576291	na
Super_Scaffold_15	assembled-molecule	14	Chromosome	CM020109.1	=	NC_045554.1	Primary Assembly	49402056	na
Super_Scaffold_16	assembled-molecule	15	Chromosome	CM020110.1	=	NC_045555.1	Primary Assembly	49092584	na
Super_Scaffold_17	assembled-molecule	16	Chromosome	CM020111.1	=	NC_045556.1	Primary Assembly	39734741	na
Super_Scaffold_18	assembled-molecule	17	Chromosome	CM020112.1	=	NC_045557.1	Primary Assembly	17174197	na
Super_Scaffold_5	assembled-molecule	Z	Chromosome	CM020113.1	=	NC_045558.1	Primary Assembly	145130870	na
scaffold_100_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000001.1	=	NW_022473574.1	Primary Assembly	184947	na
scaffold_101_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000002.1	=	NW_022473575.1	Primary Assembly	181776	na
scaffold_102_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000003.1	=	NW_022473576.1	Primary Assembly	166649	na
scaffold_103_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000004.1	=	NW_022473577.1	Primary Assembly	166507	na
scaffold_106_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000005.1	=	NW_022473578.1	Primary Assembly	163733	na
scaffold_107_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000006.1	=	NW_022473579.1	Primary Assembly	159789	na
scaffold_109_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000007.1	=	NW_022473580.1	Primary Assembly	154914	na
scaffold_110_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000009.1	=	NW_022473581.1	Primary Assembly	151765	na
scaffold_111_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000010.1	=	NW_022473582.1	Primary Assembly	146366	na
scaffold_112_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000011.1	=	NW_022473583.1	Primary Assembly	145615	na
scaffold_113_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000012.1	=	NW_022473584.1	Primary Assembly	145802	na
scaffold_114_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000013.1	=	NW_022473585.1	Primary Assembly	137075	na
scaffold_115_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000014.1	=	NW_022473586.1	Primary Assembly	137889	na
scaffold_116_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000015.1	=	NW_022473587.1	Primary Assembly	127237	na
scaffold_117_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000016.1	=	NW_022473588.1	Primary Assembly	120708	na
scaffold_118_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000017.1	=	NW_022473589.1	Primary Assembly	120393	na
scaffold_119_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000018.1	=	NW_022473590.1	Primary Assembly	116445	na
scaffold_11_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000020.1	=	NW_022473591.1	Primary Assembly	164849	na
scaffold_122_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000021.1	=	NW_022473592.1	Primary Assembly	115286	na
scaffold_123_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000022.1	=	NW_022473593.1	Primary Assembly	112364	na
scaffold_124_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000023.1	=	NW_022473594.1	Primary Assembly	112622	na
scaffold_125_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000024.1	=	NW_022473595.1	Primary Assembly	111685	na
scaffold_126_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000025.1	=	NW_022473596.1	Primary Assembly	110909	na
scaffold_127_arrow_ctg1	unplaced-scaffold	na	na	WNNA01000026.1	=	NW_022473597.1	Primary Assembly	109814	na
