# Assembly name:  rGopEvg1_v1.p
# Organism name:  Gopherus evgoodei (Goodes thornscrub tortoise)
# Infraspecific name:  ecotype=Sinaloan lineage
# Taxid:          1825980
# BioSample:      SAMN03496275
# BioProject:     PRJNA489103
# Submitter:      Vertebrate Genomes Project
# Date:           2019-07-25
# Assembly type:  haploid
# Release type:   minor
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VHHN01
# Assembly method: FALCON v. 5.1.1; FALCON-Unzip v. 1.0.2; purge_haplotigs v. bitbucket 7.10.2018; scaff10x v. 2.1; Bionano Solve DLS v. 3.2.1; Salsa2 v. 2.2; Arrow v. 5.1.0.26412; longranger align v. 2.2.2; freebayes v. 1.2.0; gEVAL manual curation v. 2019-01-31; VGP standa
# Expected final version: no
# Genome coverage: 58.0x
# Sequencing technology: PacBio Sequel I; 10X Genomics linked reads; Arima Genomics Hi-C; Bionano Genomics DLS
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_007399415.1
# RefSeq assembly accession: GCF_007399415.2
# RefSeq assembly and GenBank assemblies identical: no
# Linked assembly: GCA_007399395.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_007399425.1	GCF_007399425.1	Primary Assembly
## GCA_007399435.1	GCF_007399435.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_1	assembled-molecule	1	Chromosome	CM017296.1	=	NC_044322.1	Primary Assembly	370335144	na
scaffold_3	assembled-molecule	2	Chromosome	CM017297.1	=	NC_044323.1	Primary Assembly	299447175	na
scaffold_2	assembled-molecule	3	Chromosome	CM017298.1	=	NC_044324.1	Primary Assembly	225143049	na
scaffold_4	assembled-molecule	4	Chromosome	CM017299.1	=	NC_044325.1	Primary Assembly	155918640	na
scaffold_4_arrow_ctg1	assembled-molecule	5	Chromosome	CM017300.1	=	NC_044326.1	Primary Assembly	147425149	na
scaffold_5_arrow_ctg1	assembled-molecule	6	Chromosome	CM017301.1	=	NC_044327.1	Primary Assembly	137797752	na
scaffold_6_arrow_ctg1	assembled-molecule	7	Chromosome	CM017302.1	=	NC_044328.1	Primary Assembly	131611970	na
scaffold_9_arrow_ctg1	assembled-molecule	8	Chromosome	CM017303.1	=	NC_044329.1	Primary Assembly	113972862	na
scaffold_10_arrow_ctg1	assembled-molecule	9	Chromosome	CM017304.1	=	NC_044330.1	Primary Assembly	108927930	na
scaffold_5	assembled-molecule	10	Chromosome	CM017305.1	=	NC_044331.1	Primary Assembly	86493507	na
scaffold_12_arrow_ctg1	assembled-molecule	11	Chromosome	CM017306.1	=	NC_044332.1	Primary Assembly	81157593	na
scaffold_14_arrow_ctg1	assembled-molecule	12	Chromosome	CM017307.1	=	NC_044333.1	Primary Assembly	44291995	na
scaffold_16_arrow_ctg1	assembled-molecule	13	Chromosome	CM017308.1	=	NC_044334.1	Primary Assembly	34052379	na
scaffold_17_arrow_ctg1	assembled-molecule	14	Chromosome	CM017309.1	=	NC_044335.1	Primary Assembly	34023795	na
scaffold_19_arrow_ctg1	assembled-molecule	15	Chromosome	CM017310.1	=	NC_044336.1	Primary Assembly	30016314	na
scaffold_21_arrow_ctg1	assembled-molecule	16	Chromosome	CM017311.1	=	NC_044337.1	Primary Assembly	26755340	na
scaffold_22_arrow_ctg1	assembled-molecule	17	Chromosome	CM017312.1	=	NC_044338.1	Primary Assembly	24966275	na
scaffold_23_arrow_ctg1	assembled-molecule	18	Chromosome	CM017313.1	=	NC_044339.1	Primary Assembly	23166772	na
scaffold_24_arrow_ctg1	assembled-molecule	19	Chromosome	CM017314.1	=	NC_044340.1	Primary Assembly	22456854	na
scaffold_25_arrow_ctg1	assembled-molecule	20	Chromosome	CM017315.1	=	NC_044341.1	Primary Assembly	19814809	na
scaffold_26_arrow_ctg1	assembled-molecule	21	Chromosome	CM017316.1	=	NC_044342.1	Primary Assembly	18349496	na
scaffold_27_arrow_ctg1	assembled-molecule	22	Chromosome	CM017317.1	=	NC_044343.1	Primary Assembly	17272090	na
scaffold_28_arrow_ctg1	assembled-molecule	23	Chromosome	CM017318.1	=	NC_044344.1	Primary Assembly	15774734	na
scaffold_29_arrow_ctg1	assembled-molecule	24	Chromosome	CM017319.1	=	NC_044345.1	Primary Assembly	12531862	na
scaffold_100_arrow_ctg1	unplaced-scaffold	na	na	VHHN01000001.1	=	NW_022059763.1	Primary Assembly	185764	na
