Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name	docid	chrname	seqid	speciescode	genomefa
1	assembled-molecule	1	Chromosome	CM028482.1	=	NC_052532.1	Primary Assembly	196449156	na	9158331	chr1	NC_052532.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
2	assembled-molecule	2	Chromosome	CM028483.1	=	NC_052533.1	Primary Assembly	149539284	na	9158331	chr2	NC_052533.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
3	assembled-molecule	3	Chromosome	CM028484.1	=	NC_052534.1	Primary Assembly	110642502	na	9158331	chr3	NC_052534.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
4	assembled-molecule	4	Chromosome	CM028485.1	=	NC_052535.1	Primary Assembly	90861225	na	9158331	chr4	NC_052535.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
5	assembled-molecule	5	Chromosome	CM028486.1	=	NC_052536.1	Primary Assembly	59506338	na	9158331	chr5	NC_052536.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
6	assembled-molecule	6	Chromosome	CM028487.1	=	NC_052537.1	Primary Assembly	36220557	na	9158331	chr6	NC_052537.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
7	assembled-molecule	7	Chromosome	CM028488.1	=	NC_052538.1	Primary Assembly	36382834	na	9158331	chr7	NC_052538.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
8	assembled-molecule	8	Chromosome	CM028489.1	=	NC_052539.1	Primary Assembly	29578256	na	9158331	chr8	NC_052539.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
9	assembled-molecule	9	Chromosome	CM028490.1	=	NC_052540.1	Primary Assembly	23733309	na	9158331	chr9	NC_052540.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
10	assembled-molecule	10	Chromosome	CM028491.1	=	NC_052541.1	Primary Assembly	20453248	na	9158331	chr10	NC_052541.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
11	assembled-molecule	11	Chromosome	CM028492.1	=	NC_052542.1	Primary Assembly	19638187	na	9158331	chr11	NC_052542.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
12	assembled-molecule	12	Chromosome	CM028493.1	=	NC_052543.1	Primary Assembly	20119077	na	9158331	chr12	NC_052543.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
13	assembled-molecule	13	Chromosome	CM028494.1	=	NC_052544.1	Primary Assembly	17905061	na	9158331	chr13	NC_052544.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
14	assembled-molecule	14	Chromosome	CM028495.1	=	NC_052545.1	Primary Assembly	15331188	na	9158331	chr14	NC_052545.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
15	assembled-molecule	15	Chromosome	CM028496.1	=	NC_052546.1	Primary Assembly	12703657	na	9158331	chr15	NC_052546.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
