# Assembly name:  UG_Zviv_1
# Organism name:  Zootoca vivipara (common lizard)
# Isolate:  ELT05324
# Sex:  female
# Taxid:          8524
# BioSample:      SAMN14329711
# BioProject:     PRJNA610958
# Submitter:      University of Glasgow
# Date:           2020-04-01
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAATIO01
# Assembly method: Platanus v. 1.2.4; OPERA-LG v. 2.0.6; AGOUTI v. 0.3.3
# Expected final version: yes
# Genome coverage: 70.0x
# Sequencing technology: Illumina HiSeq; PacBio Sequel
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_011800845.1
# RefSeq assembly accession: GCF_011800845.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_011800865.1	GCF_011800865.1	Primary Assembly
## 	GCF_013359405.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
LG1	assembled-molecule	LG1	Linkage Group	CM022339.1	=	NC_048605.1	Primary Assembly	131769443	na
LG2	assembled-molecule	LG2	Linkage Group	CM022340.1	=	NC_048606.1	Primary Assembly	117834363	na
LG3	assembled-molecule	LG3	Linkage Group	CM022341.1	=	NC_048607.1	Primary Assembly	116371480	na
LG4	assembled-molecule	LG4	Linkage Group	CM022342.1	=	NC_048608.1	Primary Assembly	100631306	na
LG5	assembled-molecule	LG5	Linkage Group	CM022343.1	=	NC_048609.1	Primary Assembly	98023110	na
LG6	assembled-molecule	LG6	Linkage Group	CM022344.1	=	NC_048610.1	Primary Assembly	94199661	na
LG7	assembled-molecule	LG7	Linkage Group	CM022345.1	=	NC_048611.1	Primary Assembly	92810032	na
LG8	assembled-molecule	LG8	Linkage Group	CM022346.1	=	NC_048612.1	Primary Assembly	79626714	na
LG9	assembled-molecule	LG9	Linkage Group	CM022347.1	=	NC_048613.1	Primary Assembly	69679922	na
LG10	assembled-molecule	LG10	Linkage Group	CM022348.1	=	NC_048614.1	Primary Assembly	54413957	na
LG11	assembled-molecule	LG11	Linkage Group	CM022349.1	=	NC_048615.1	Primary Assembly	51059636	na
LG12	assembled-molecule	LG12	Linkage Group	CM022350.1	=	NC_048616.1	Primary Assembly	49589567	na
LG13	assembled-molecule	LG13	Linkage Group	CM022351.1	=	NC_048617.1	Primary Assembly	48213930	na
LG14	assembled-molecule	LG14	Linkage Group	CM022352.1	=	NC_048618.1	Primary Assembly	46006402	na
LG15	assembled-molecule	LG15	Linkage Group	CM022353.1	=	NC_048619.1	Primary Assembly	44540502	na
LG16	assembled-molecule	LG16	Linkage Group	CM022354.1	=	NC_048620.1	Primary Assembly	40703745	na
LG17	assembled-molecule	LG17	Linkage Group	CM022355.1	=	NC_048621.1	Primary Assembly	39436030	na
LG18	assembled-molecule	LG18	Linkage Group	CM022356.1	=	NC_048622.1	Primary Assembly	35462695	na
LG19	assembled-molecule	LG19	Linkage Group	CM022357.1	=	NC_048623.1	Primary Assembly	24898947	na
Contig0_28947923_28949200	unplaced-scaffold	na	na	JAATIO010000020.1	=	NW_023277462.1	Primary Assembly	1278	na
Contig0_28949202_28952071	unplaced-scaffold	na	na	JAATIO010000021.1	=	NW_023277463.1	Primary Assembly	2870	na
Contig0_28952097_28956949	unplaced-scaffold	na	na	JAATIO010000022.1	=	NW_023277464.1	Primary Assembly	4853	na
Contig1_26541151_26572672	unplaced-scaffold	na	na	JAATIO010000023.1	=	NW_023289483.1	Primary Assembly	31522	na
Contig2_35850903_35864220	unplaced-scaffold	na	na	JAATIO010000024.1	=	NW_023293045.1	Primary Assembly	13318	na
Contig2_35864222_35921508	unplaced-scaffold	na	na	JAATIO010000025.1	=	NW_023293046.1	Primary Assembly	57287	na
Contig3_22572020_22572894	unplaced-scaffold	na	na	JAATIO010000026.1	=	NW_023294688.1	Primary Assembly	875	na
Contig3_22580810_22600708	unplaced-scaffold	na	na	JAATIO010000027.1	=	NW_023294689.1	Primary Assembly	19899	na
Contig3_22601047_22612649	unplaced-scaffold	na	na	JAATIO010000028.1	=	NW_023294690.1	Primary Assembly	11603	na
Contig5_18035155_18064120	unplaced-scaffold	na	na	JAATIO010000029.1	=	NW_023297545.1	Primary Assembly	28966	na
Contig5_18065650_18090348	unplaced-scaffold	na	na	JAATIO010000030.1	=	NW_023297546.1	Primary Assembly	24699	na
Contig5_18090758_18118450	unplaced-scaffold	na	na	JAATIO010000031.1	=	NW_023297547.1	Primary Assembly	27693	na
Contig6_33089189_33090627	unplaced-scaffold	na	na	JAATIO010000032.1	=	NW_023298826.1	Primary Assembly	1439	na
Contig6_33094368_33096606	unplaced-scaffold	na	na	JAATIO010000033.1	=	NW_023298827.1	Primary Assembly	2239	na
Contig9_9384789_9386223	unplaced-scaffold	na	na	JAATIO010000034.1	=	NW_023302686.1	Primary Assembly	1435	na
Contig9_9388060_9420493	unplaced-scaffold	na	na	JAATIO010000035.1	=	NW_023302687.1	Primary Assembly	32434	na
Contig9_9420495_9453402	unplaced-scaffold	na	na	JAATIO010000036.1	=	NW_023302688.1	Primary Assembly	32908	na
Contig9_9453547_9467756	unplaced-scaffold	na	na	JAATIO010000037.1	=	NW_023302689.1	Primary Assembly	14210	na
Contig9_9467758_9471491	unplaced-scaffold	na	na	JAATIO010000038.1	=	NW_023302690.1	Primary Assembly	3734	na
Contig9_9471493_9472736	unplaced-scaffold	na	na	JAATIO010000039.1	=	NW_023302691.1	Primary Assembly	1244	na
Contig9_9483625_9484654	unplaced-scaffold	na	na	JAATIO010000040.1	=	NW_023302692.1	Primary Assembly	1030	na
Contig9_9485631_9486998	unplaced-scaffold	na	na	JAATIO010000041.1	=	NW_023302693.1	Primary Assembly	1368	na
Contig10	unplaced-scaffold	na	na	JAATIO010000042.1	=	NW_023277465.1	Primary Assembly	3330	na
Contig11	unplaced-scaffold	na	na	JAATIO010000043.1	=	NW_023278704.1	Primary Assembly	2472	na
Contig12	unplaced-scaffold	na	na	JAATIO010000044.1	=	NW_023279907.1	Primary Assembly	4745	na
Contig13	unplaced-scaffold	na	na	JAATIO010000045.1	=	NW_023281117.1	Primary Assembly	675	na
Contig14	unplaced-scaffold	na	na	JAATIO010000046.1	=	NW_023282360.1	Primary Assembly	548	na
Contig15_15635864_15637281	unplaced-scaffold	na	na	JAATIO010000047.1	=	NW_023284818.1	Primary Assembly	1418	na
Contig15_15637283_15639919	unplaced-scaffold	na	na	JAATIO010000048.1	=	NW_023284819.1	Primary Assembly	2637	na
Contig15_15639921_15646711	unplaced-scaffold	na	na	JAATIO010000049.1	=	NW_023284820.1	Primary Assembly	6791	na
Contig15_15648834_15663405	unplaced-scaffold	na	na	JAATIO010000050.1	=	NW_023284821.1	Primary Assembly	14572	na
Contig15_15663469_15709508	unplaced-scaffold	na	na	JAATIO010000051.1	=	NW_023284822.1	Primary Assembly	46040	na
