#species	uniprotspeciescode	Common name	fasta	cds	gff	assemblyreport	ProcessingOrder	NCBITaxID	genomelength	contigs	gc	ns	meanlen	medianlen	longestlen	shortestlen	n50	n90	Chromosomes	Linkage Group	Mitochondrion	Unachored	PercentUnanchored	karyotype
Gallus gallus	CHICK	Chicken	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.6_GRCg6a/GCF_000002315.6_GRCg6a_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.6_GRCg6a/GCF_000002315.6_GRCg6a_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.6_GRCg6a/GCF_000002315.6_GRCg6a_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.6_GRCg6a/GCF_000002315.6_GRCg6a_assembly_report.txt	1	9031	1065365434	464	33.84048717	9784460	2296046.194	10056	197608386	87	91315245	10762512	1051243281	NA	16784	14105369	1.32401435	
Trachemys scripta elegans	TRASE	Red-eared slider turtle	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/100/865/GCF_013100865.1_CAS_Tse_1.0/GCF_013100865.1_CAS_Tse_1.0_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/100/865/GCF_013100865.1_CAS_Tse_1.0/GCF_013100865.1_CAS_Tse_1.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/100/865/GCF_013100865.1_CAS_Tse_1.0/GCF_013100865.1_CAS_Tse_1.0_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/100/865/GCF_013100865.1_CAS_Tse_1.0/GCF_013100865.1_CAS_Tse_1.0_assembly_report.txt	2	31138	2126199303	138	28.64907072	82148119	15407241.33	70383	347660827	16810	140411086	30045477	2108279646	NA	16810	17902847	0.842018362	
Gallus gallus	CHICKYO	Chicken Yeonsan Ogye	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/798/355/GCA_002798355.1_Ogye1.0/GCA_002798355.1_Ogye1.0_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/798/355/GCA_002798355.1_Ogye1.0/GCA_002798355.1_Ogye1.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/798/355/GCA_002798355.1_Ogye1.0/GCA_002798355.1_Ogye1.0_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/798/355/GCA_002798355.1_Ogye1.0/GCA_002798355.1_Ogye1.0_assembly_report.txt	3	9031	1021022236	1822	34.2068083	19226601	560385.4204	2180	196835485	903	90110113	12680703	1002564000	NA	16774	18441462	1.806206008	
Corvus monedula	CORMO	Jackdaw	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/407/035/GCA_013407035.1_ASM1340703v1/GCA_013407035.1_ASM1340703v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/407/035/GCA_013407035.1_ASM1340703v1/GCA_013407035.1_ASM1340703v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/407/035/GCA_013407035.1_ASM1340703v1/GCA_013407035.1_ASM1340703v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/407/035/GCA_013407035.1_ASM1340703v1/GCA_013407035.1_ASM1340703v1_assembly_report.txt	4	30423	1035863955	41	35.13909228	2904377	25264974.51	11176533	154487646	117139	73777161	14997001	1029668364	NA	NA	6195591	0.598108561	
Cygnus olor	CYGOL	Mute swan	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/625/GCA_009769625.1_bCygOlo1.pri/GCA_009769625.1_bCygOlo1.pri_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/625/GCA_009769625.1_bCygOlo1.pri/GCA_009769625.1_bCygOlo1.pri_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/625/GCA_009769625.1_bCygOlo1.pri/GCA_009769625.1_bCygOlo1.pri_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/625/GCA_009769625.1_bCygOlo1.pri/GCA_009769625.1_bCygOlo1.pri_assembly_report.txt	5	8869	1135009278	181	34.1964883	10642469	6270769.492	43715	209740803	711	81035313	13182687	1123645221	NA	16733	11347324	0.999770796	
Naja naja 	NAJNA	Indian cobra	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/733/165/GCA_009733165.1_Nana_v5/GCA_009733165.1_Nana_v5_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/733/165/GCA_009733165.1_Nana_v5/GCA_009733165.1_Nana_v5_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/733/165/GCA_009733165.1_Nana_v5/GCA_009733165.1_Nana_v5_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/733/165/GCA_009733165.1_Nana_v5/GCA_009733165.1_Nana_v5_assembly_report.txt	6	35670	1768535092	1897	21.44009326	109672238	932279.9642	21395	375026955	585	224088900	23367679	1667692826	NA	NA	100842266	5.702022338	
Ornithorhynchus anatinus	ORNAN	Platypus	https://ftp.ncbi.nlm.nih.gov/genomes/refseq/vertebrate_mammalian/Ornithorhynchus_anatinus/latest_assembly_versions/GCF_004115215.1_mOrnAna1.p.v1/GCF_004115215.1_mOrnAna1.p.v1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/refseq/vertebrate_mammalian/Ornithorhynchus_anatinus/latest_assembly_versions/GCF_004115215.1_mOrnAna1.p.v1/GCF_004115215.1_mOrnAna1.p.v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/refseq/vertebrate_mammalian/Ornithorhynchus_anatinus/latest_assembly_versions/GCF_004115215.1_mOrnAna1.p.v1/GCF_004115215.1_mOrnAna1.p.v1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/refseq/vertebrate_mammalian/Ornithorhynchus_anatinus/latest_assembly_versions/GCF_004115215.1_mOrnAna1.p.v1/GCF_004115215.1_mOrnAna1.p.v1_assembly_report.txt	7	9258	1858552590	305	23.11327198	15159818	6093615.049	38709	186506016	11224	83338043	33863336	1824112196	NA	33880	34423375	1.852177356	
Gopherus evgoodei	GOPEV	Goodes thornscrub tortoise	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/399/415/GCF_007399415.2_rGopEvg1_v1.p/GCF_007399415.2_rGopEvg1_v1.p_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/399/415/GCF_007399415.2_rGopEvg1_v1.p/GCF_007399415.2_rGopEvg1_v1.p_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/399/415/GCF_007399415.2_rGopEvg1_v1.p/GCF_007399415.2_rGopEvg1_v1.p_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/399/415/GCF_007399415.2_rGopEvg1_v1.p/GCF_007399415.2_rGopEvg1_v1.p_assembly_report.txt	8	1825980	2298564209	383	28.62572046	29560319	6001473.131	58439	370335144	5793	147425149	23166772	2181703486	NA	16845	116843878	5.083379174	
Dermochelys coriacea	DERCO	Leatherback sea turtle	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/565/GCA_009764565.2_rDerCor1.pri.v2/GCA_009764565.2_rDerCor1.pri.v2_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/565/GCA_009764565.2_rDerCor1.pri.v2/GCA_009764565.2_rDerCor1.pri.v2_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/565/GCA_009764565.2_rDerCor1.pri.v2/GCA_009764565.2_rDerCor1.pri.v2_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/764/565/GCA_009764565.2_rDerCor1.pri.v2/GCA_009764565.2_rDerCor1.pri.v2_assembly_report.txt	9	27794	2165403598	53	28.63456372	5730100	40856671.66	16292121	354662658	2405	137794460	25425890	2164565421	NA	16625	821552	0.037940193	
Chrysemys picta	CHRPI	Western painted turtle	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/765/GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4/GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/765/GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4/GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/765/GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4/GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/765/GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4/GCA_000241765.4_Chrysemys_picta_BioNano-3.0.4_assembly_report.txt	10	8478	2481351664	76387	26.46694197	309640510	32483.9523	759	163127350	203	20675201	605855	929379579	NA	NA	1551972085	62.54543068	
